# source	meet_id	div_id	n	c_pct	iqr_pct	z	fan	fan_ratio	already
anet	32841	142494	21	+35.14	4.68	+10.3	-	1.00	
anet	246671	978424	21	-30.81	11.16	-10.3	FAN	2.39	
anet	220325	881868	42	+33.59	3.93	+10.3	-	0.84	
anet	106672	446458	30	-26.28	6.36	-10.3	-	1.36	
anet	203617	816331	47	+33.93	5.18	+10.2	-	1.11	
anet	250515	996803	26	+34.89	5.24	+10.2	-	1.12	
anet	206673	828418	41	+32.87	2.44	+10.2	-	0.52	
tfrrs	6055	1	56	-25.08	5.09	-10.2	-	1.09	OVERRIDE
anet	271943	1084499	20	+34.04	3.83	+10.2	-	0.82	
anet	206323	827104	24	+33.74	3.99	+10.1	-	0.85	
anet	92508	395664	23	-31.13	12.47	-10.1	FAN	2.67	
anet	10481	51504	30	-31.38	14.66	-10.1	FAN	3.14	
anet	270993	1079360	19	-26.34	5.90	-10.1	-	1.26	
anet	157060	654512	15	+35.18	4.87	+10.0	-	1.04	
anet	127533	517369	14	+46.19	10.33	+10.0	FAN	2.21	
anet	100743	396233	12	+35.49	4.69	+10.0	-	1.00	
anet	120781	492779	16	+35.91	5.78	+10.0	-	1.24	
tfrrs	9691	2	21	+32.26	2.64	+9.9	-	0.57	
anet	54536	232361	14	+33.93	4.04	+9.9	-	0.87	
anet	250011	994097	30	+32.35	3.49	+9.9	-	0.75	
anet	124651	508593	37	+34.77	8.08	+9.8	-	1.73	OVERRIDE
anet	92508	395670	32	-29.30	13.18	-9.8	FAN	2.82	
anet	156998	654335	18	+35.55	6.56	+9.7	-	1.41	
anet	249940	993725	51	-28.47	15.61	-9.7	FAN	3.34	
anet	101744	400920	19	+34.99	6.36	+9.7	-	1.36	
anet	135439	555162	16	+34.95	5.81	+9.7	-	1.24	
anet	154814	645447	75	+34.22	11.55	+9.7	FAN	2.47	
anet	76803	305505	29	+32.94	5.71	+9.7	-	1.22	
anet	196059	796883	14	+54.01	14.00	+9.7	FAN	3.00	
anet	110241	436454	23	+38.26	10.03	+9.6	FAN	2.15	OVERRIDE
anet	168268	696272	46	+31.21	4.93	+9.5	-	1.06	
anet	174682	716985	12	-35.26	13.39	-9.5	FAN	2.87	
anet	214067	853965	92	+30.73	5.79	+9.5	-	1.24	
anet	234252	936667	36	+33.54	8.41	+9.5	FAN	1.80	
anet	236734	946744	16	+34.65	6.46	+9.4	-	1.38	
anet	247121	989912	13	+53.05	13.72	+9.4	FAN	2.94	OVERRIDE
anet	243310	988304	12	+37.20	7.05	+9.4	-	1.51	
anet	35440	304735	91	+29.87	4.52	+9.3	-	0.97	
anet	200841	806113	21	+38.65	10.49	+9.3	FAN	2.25	
tfrrs	15249	1	31	-23.29	3.91	-9.3	-	0.84	OVERRIDE
anet	149010	621665	12	+33.29	5.07	+9.3	-	1.09	
anet	97642	389106	67	+30.79	7.19	+9.3	-	1.54	
anet	185574	754596	18	+33.69	6.54	+9.3	-	1.40	
anet	235938	943753	82	+30.16	6.33	+9.3	-	1.36	
anet	107022	435012	16	+39.24	9.62	+9.3	FAN	2.06	
anet	117799	509865	17	+35.84	7.95	+9.3	-	1.70	
anet	79584	329626	22	-35.49	19.18	-9.3	FAN	4.11	
anet	146305	623113	65	+30.16	6.08	+9.2	-	1.30	
anet	127353	516524	45	-27.52	15.27	-9.2	FAN	3.27	OVERRIDE
tfrrs	13575	0	129	-23.91	13.01	-9.2	FAN	2.79	
anet	97416	388176	53	+32.18	9.66	+9.2	FAN	2.07	
anet	127991	519620	66	+29.85	5.63	+9.2	-	1.21	
anet	243310	988311	38	+31.55	7.47	+9.2	-	1.60	
