# source	meet_id	div_id	n	c_pct	iqr_pct	z	fan	fan_ratio	already
anet	267928	1064905	56	+17.05	6.72	+5.5	-	1.44	
tfrrs	4084	1	22	-15.04	5.73	-5.5	-	1.23	
anet	96130	382929	23	-14.92	5.48	-5.5	-	1.17	
anet	236350	945061	47	+18.43	10.33	+5.5	FAN	2.21	
anet	194231	782009	19	+17.74	5.39	+5.5	-	1.15	
anet	51777	220491	15	-14.95	4.53	-5.4	-	0.97	
anet	132222	569244	12	+17.21	3.44	+5.4	-	0.74	
anet	236973	947493	25	-18.90	14.27	-5.4	FAN	3.06	
anet	44062	189669	74	-14.04	2.72	-5.4	-	0.58	
anet	130928	533255	33	-14.74	5.94	-5.4	-	1.27	
tfrrs	6550	0	18	-14.41	3.34	-5.4	-	0.72	
anet	49400	210635	177	+16.74	9.65	+5.4	FAN	2.07	
anet	209063	857477	33	-14.53	5.17	-5.4	-	1.11	
anet	193346	779484	31	-16.43	10.74	-5.4	FAN	2.30	
anet	121486	505240	28	+21.61	13.01	+5.4	FAN	2.79	
tfrrs	13530	9	52	-14.30	5.04	-5.4	-	1.08	
anet	13842	63593	17	+18.58	6.52	+5.4	-	1.40	
tfrrs	16292	8	73	-14.01	2.66	-5.4	-	0.57	
anet	111666	442428	52	-14.20	4.34	-5.4	-	0.93	
anet	219144	877315	26	+17.97	6.94	+5.4	-	1.49	
anet	13842	63594	20	+19.33	8.20	+5.4	-	1.76	
anet	183932	749526	17	+18.16	5.92	+5.4	-	1.27	
anet	164030	676760	21	-17.03	10.01	-5.4	FAN	2.14	
tfrrs	13530	1	42	-15.27	8.97	-5.4	FAN	1.92	
anet	148213	617675	40	+17.24	6.59	+5.4	-	1.41	
tfrrs	23381	0	62	-14.50	7.05	-5.4	-	1.51	
anet	132499	540294	55	-15.01	9.20	-5.4	FAN	1.97	
tfrrs	11851	2	180	-14.08	6.33	-5.4	-	1.36	
anet	180173	736654	40	-14.39	5.13	-5.4	-	1.10	
anet	184057	752271	20	-14.78	4.94	-5.4	-	1.06	
anet	110223	436360	18	+18.00	5.87	+5.4	-	1.26	
anet	235719	942891	106	+16.93	9.16	+5.4	FAN	1.96	
anet	235752	942983	106	+16.93	9.16	+5.4	FAN	1.96	
anet	244205	973052	61	-14.26	5.43	-5.4	-	1.16	
anet	156429	652087	62	-14.62	7.84	-5.4	-	1.68	
anet	205154	822598	76	-14.77	9.58	-5.4	FAN	2.05	
anet	58415	250072	35	+16.92	5.27	+5.4	-	1.13	
anet	148492	618399	29	+19.35	10.00	+5.4	FAN	2.14	
tfrrs	24451	1	37	-14.14	3.53	-5.4	-	0.76	
tfrrs	19401	1	62	-14.11	4.23	-5.4	-	0.91	
anet	151494	628341	59	+16.60	5.30	+5.4	-	1.14	
anet	162379	670907	51	-14.64	7.33	-5.4	-	1.57	
anet	221435	886175	19	+18.06	6.19	+5.4	-	1.33	
anet	48353	206251	47	-14.17	4.23	-5.4	-	0.91	
tfrrs	20200	0	44	-14.87	7.80	-5.4	-	1.67	
anet	110875	439105	15	-15.69	6.29	-5.4	-	1.35	
anet	172587	711496	42	-17.06	14.34	-5.4	FAN	3.07	
anet	176792	747983	12	-19.27	10.45	-5.4	FAN	2.24	
tfrrs	19408	2	125	-14.31	8.53	-5.4	FAN	1.83	
tfrrs	21853	0	80	-14.20	5.90	-5.4	-	1.26	
anet	19921	88783	41	+16.62	4.55	+5.4	-	0.98	
tfrrs	12952	11	44	-14.17	4.20	-5.4	-	0.90	
tfrrs	23519	6	88	-14.57	9.17	-5.4	FAN	1.96	
anet	135680	556791	87	+17.47	11.03	+5.4	FAN	2.36	
anet	20832	120668	16	+20.44	8.74	+5.4	FAN	1.87	
anet	209403	863996	26	-16.06	9.18	-5.4	FAN	1.97	
anet	247459	981903	16	+16.82	3.42	+5.4	-	0.73	
tfrrs	10077	0	15	+17.49	4.63	+5.4	-	0.99	
anet	147280	615413	21	-15.62	7.31	-5.4	-	1.57	
anet	241498	985724	16	-14.32	3.16	-5.4	-	0.68	
tfrrs	22212	1	18	-14.53	4.05	-5.4	-	0.87	
anet	174685	716995	41	-14.31	5.04	-5.4	-	1.08	
anet	36964	159620	19	+18.22	6.53	+5.4	-	1.40	
anet	174240	715834	21	-14.61	4.68	-5.4	-	1.00	
anet	223865	895021	49	+16.54	4.75	+5.4	-	1.02	
anet	52009	221442	54	-15.01	9.42	-5.4	FAN	2.02	
anet	236902	961764	22	-17.53	11.29	-5.4	FAN	2.42	
anet	96960	394336	24	-14.28	3.78	-5.4	-	0.81	
tfrrs	15611	1	147	-13.92	3.78	-5.4	-	0.81	
tfrrs	12952	6	52	-14.02	3.47	-5.4	-	0.74	
anet	268336	1070644	14	-14.29	2.91	-5.4	-	0.62	
anet	226231	911416	93	+16.98	9.31	+5.4	FAN	1.99	
anet	50155	213716	101	-14.31	8.05	-5.4	-	1.73	
anet	116299	465416	22	-15.05	6.15	-5.4	-	1.32	
anet	53935	229591	108	-13.92	3.37	-5.4	-	0.72	
tfrrs	21554	1	32	-15.22	7.98	-5.4	-	1.71	
tfrrs	25409	0	81	-14.63	9.50	-5.4	FAN	2.03	OVERRIDE
anet	236734	946743	12	+21.23	8.36	+5.4	-	1.79	
anet	237653	949963	38	+16.33	3.27	+5.4	-	0.70	
anet	14487	76662	13	+16.28	1.72	+5.4	-	0.37	
anet	102016	402127	13	+17.93	5.06	+5.4	-	1.08	
tfrrs	23949	0	97	-14.05	5.42	-5.4	-	1.16	
tfrrs	22982	1	44	-13.92	2.40	-5.4	-	0.51	
anet	244986	975415	64	-14.16	5.43	-5.4	-	1.16	
anet	96695	385264	15	+16.82	3.44	+5.4	-	0.74	
anet	136647	562199	31	+19.42	10.66	+5.4	FAN	2.28	
tfrrs	11498	1	20	-15.16	6.21	-5.4	-	1.33	
anet	234393	937280	20	+17.34	5.21	+5.4	-	1.12	
anet	221636	886960	51	+16.28	3.55	+5.4	-	0.76	
anet	229467	914806	85	+16.33	5.17	+5.4	-	1.11	
anet	196318	814455	91	-14.09	5.97	-5.4	-	1.28	
anet	191703	774371	105	+16.55	7.52	+5.4	-	1.61	
tfrrs	23339	3	81	-14.08	5.48	-5.4	-	1.17	
anet	241850	965095	32	-15.70	9.46	-5.4	FAN	2.03	
anet	47501	202736	28	-16.19	10.04	-5.4	FAN	2.15	
tfrrs	23529	2	98	-14.41	9.11	-5.4	FAN	1.95	
anet	113222	449707	13	+16.78	3.21	+5.4	-	0.69	OVERRIDE
tfrrs	4086	1	92	-14.05	5.62	-5.4	-	1.20	
anet	57893	247879	28	-14.56	5.47	-5.4	-	1.17	
anet	137683	568183	34	+17.27	6.68	+5.4	-	1.43	
anet	122911	494012	39	-14.48	6.12	-5.4	-	1.31	
tfrrs	25902	1	125	-14.15	7.87	-5.4	-	1.69	
anet	161719	669102	36	-15.24	8.68	-5.4	FAN	1.86	
anet	57566	246507	20	-15.86	7.84	-5.4	-	1.68	
anet	153316	637571	20	+17.33	5.27	+5.4	-	1.13	
tfrrs	15611	4	54	-15.18	10.40	-5.4	FAN	2.23	
anet	48268	205914	50	+16.43	4.75	+5.4	-	1.02	
tfrrs	21680	1	16	-15.39	6.13	-5.4	-	1.31	
tfrrs	26362	1	31	-14.89	7.00	-5.4	-	1.50	
anet	118634	476081	40	-14.45	6.13	-5.4	-	1.31	
anet	229623	926883	26	+16.56	3.93	+5.4	-	0.84	
anet	218032	872163	35	+18.27	9.24	+5.4	FAN	1.98	
anet	144606	607084	13	-15.50	5.73	-5.4	-	1.23	
anet	271829	1082994	24	-14.37	4.49	-5.4	-	0.96	
tfrrs	12952	8	28	-14.71	6.10	-5.4	-	1.31	
tfrrs	21260	1	96	-14.12	6.80	-5.4	-	1.46	
anet	228835	912473	39	+17.58	8.13	+5.4	-	1.74	
tfrrs	23476	1	187	-13.96	7.01	-5.4	-	1.50	
tfrrs	19442	4	210	-13.95	7.36	-5.4	-	1.58	
anet	94123	372406	18	-14.73	4.98	-5.4	-	1.07	
tfrrs	25877	0	25	-15.02	6.73	-5.4	-	1.44	
anet	84016	330204	18	+20.93	10.05	+5.4	FAN	2.15	
anet	112191	458875	43	-15.01	8.77	-5.4	FAN	1.88	
anet	96807	394121	65	-14.31	7.07	-5.4	-	1.51	
anet	146018	637174	23	+18.06	7.17	+5.4	-	1.53	
anet	136163	573386	45	+17.64	8.93	+5.4	FAN	1.91	
anet	59169	278381	107	-14.08	6.88	-5.4	-	1.47	
anet	255698	1016831	13	+24.74	11.78	+5.4	FAN	2.52	
anet	236373	945199	15	+18.67	6.64	+5.4	-	1.42	
anet	213539	852025	46	-15.04	9.22	-5.4	FAN	1.98	
tfrrs	20905	2	44	-14.06	4.34	-5.4	-	0.93	
anet	206172	826627	35	-14.60	6.50	-5.4	-	1.39	
tfrrs	5658	1	16	-14.49	4.09	-5.4	-	0.88	
anet	124852	502496	17	+18.31	6.58	+5.4	-	1.41	
anet	256749	1020599	14	-15.53	6.07	-5.4	-	1.30	
anet	241982	965304	36	-14.18	4.69	-5.4	-	1.00	
anet	112860	451270	15	-14.63	4.34	-5.4	-	0.93	
anet	196607	788617	67	+17.66	11.06	+5.4	FAN	2.37	
anet	17230	76899	34	-14.46	5.88	-5.4	-	1.26	
anet	199424	799416	60	-14.53	8.19	-5.3	-	1.76	
anet	83288	327239	32	+17.34	6.93	+5.3	-	1.48	
anet	111526	441860	38	-16.77	13.40	-5.3	FAN	2.87	
tfrrs	25457	3	172	-14.22	10.90	-5.3	FAN	2.33	
anet	234242	936744	48	+17.00	7.40	+5.3	-	1.59	
anet	129800	527901	18	+20.14	9.22	+5.3	FAN	1.98	
anet	123618	512497	17	+16.89	4.17	+5.3	-	0.89	
tfrrs	8831	3	62	-13.90	4.01	-5.3	-	0.86	
tfrrs	13624	4	21	-14.64	5.24	-5.3	-	1.12	
anet	242099	986822	59	-14.20	6.35	-5.3	-	1.36	
anet	243955	972348	74	+16.14	4.33	+5.3	-	0.93	
anet	137862	569223	31	-14.76	6.83	-5.3	-	1.46	
anet	93866	371257	34	+16.26	3.61	+5.3	-	0.77	
tfrrs	16292	10	99	-13.80	3.69	-5.3	-	0.79	
anet	4042	19694	26	+16.93	5.35	+5.3	-	1.15	
anet	112908	456701	47	-14.09	5.00	-5.3	-	1.07	
anet	139686	580999	25	-14.94	6.69	-5.3	-	1.43	
anet	256235	1018911	104	+16.05	4.24	+5.3	-	0.91	
anet	106499	420419	35	+17.75	8.36	+5.3	-	1.79	
anet	31041	134771	28	-14.45	5.44	-5.3	-	1.17	
anet	182315	744349	12	-14.33	3.27	-5.3	-	0.70	
tfrrs	13530	6	46	-14.33	6.42	-5.3	-	1.38	
anet	197288	790684	14	-17.07	8.64	-5.3	FAN	1.85	
anet	124350	500117	23	+18.86	8.66	+5.3	FAN	1.86	
anet	154539	644129	54	-14.06	5.26	-5.3	-	1.13	
anet	135646	556607	153	-13.89	6.59	-5.3	-	1.41	
anet	226091	902929	41	-14.68	7.61	-5.3	-	1.63	
anet	193346	779486	19	-14.20	3.70	-5.3	-	0.79	
anet	210141	840917	34	+16.15	3.22	+5.3	-	0.69	
anet	257267	1022439	32	-14.67	6.72	-5.3	-	1.44	
anet	173614	738726	17	+18.68	7.23	+5.3	-	1.55	
anet	232584	928420	30	+17.68	7.65	+5.3	-	1.64	
tfrrs	19364	8	110	-13.89	5.71	-5.3	-	1.22	
anet	174868	730022	18	-14.52	4.65	-5.3	-	1.00	
anet	172966	712518	89	+16.15	5.38	+5.3	-	1.15	
anet	244095	977314	56	-14.66	8.88	-5.3	FAN	1.90	
anet	229876	924094	48	+16.48	5.68	+5.3	-	1.22	
anet	133997	546989	144	+15.97	4.64	+5.3	-	0.99	
tfrrs	18279	0	68	-13.97	5.37	-5.3	-	1.15	
tfrrs	19408	1	115	-13.81	4.78	-5.3	-	1.02	
anet	196318	814451	191	-13.75	4.79	-5.3	-	1.03	
anet	260643	1034887	34	+18.19	9.33	+5.3	FAN	2.00	
anet	147573	631932	87	-15.29	14.44	-5.3	FAN	3.09	
anet	105993	418082	25	-15.00	6.97	-5.3	-	1.49	
anet	71679	293891	46	-15.08	9.76	-5.3	FAN	2.09	
anet	11487	52659	78	+15.98	3.60	+5.3	-	0.77	
anet	230003	917413	19	+18.81	7.90	+5.3	-	1.69	
tfrrs	21801	1	53	-14.35	7.24	-5.3	-	1.55	
tfrrs	22077	0	21	-13.88	2.59	-5.3	-	0.56	
tfrrs	18079	0	55	-14.01	5.25	-5.3	-	1.12	
tfrrs	22108	0	46	-14.40	7.00	-5.3	-	1.50	
anet	74976	300417	64	+16.10	4.45	+5.3	-	0.95	
tfrrs	22982	0	51	-13.71	2.14	-5.3	-	0.46	
anet	174240	715831	32	-14.52	6.33	-5.3	-	1.36	
anet	130201	556958	283	-14.67	20.41	-5.3	FAN	4.37	
anet	46467	198541	30	+17.53	7.44	+5.3	-	1.59	
anet	264519	1049611	22	+19.02	8.85	+5.3	FAN	1.90	
anet	119704	492436	16	-14.24	3.68	-5.3	-	0.79	
anet	44779	191878	19	-13.93	2.79	-5.3	-	0.60	
anet	200624	805102	39	-14.71	7.77	-5.3	-	1.67	
anet	26954	118492	13	-16.41	7.48	-5.3	-	1.60	
tfrrs	6550	5	15	-14.01	2.80	-5.3	-	0.60	
anet	243713	970984	22	+25.14	16.00	+5.3	FAN	3.43	
anet	45940	213565	32	-14.19	5.05	-5.3	-	1.08	
anet	136106	559049	42	+16.11	3.82	+5.3	-	0.82	
anet	111717	442681	43	-15.40	10.65	-5.3	FAN	2.28	
tfrrs	23897	0	103	-14.08	8.07	-5.3	-	1.73	
anet	95184	376833	36	+18.00	9.29	+5.3	FAN	1.99	
anet	225709	901590	13	+18.79	6.56	+5.3	-	1.41	
anet	194295	782267	59	-16.55	16.42	-5.3	FAN	3.52	
anet	141947	594060	14	+20.63	8.82	+5.3	FAN	1.89	
anet	255779	1017179	38	-14.59	7.28	-5.3	-	1.56	
tfrrs	20905	5	22	-14.75	5.99	-5.3	-	1.28	
tfrrs	8923	3	57	-14.38	7.89	-5.3	-	1.69	
tfrrs	9615	0	18	-14.64	5.15	-5.3	-	1.10	
anet	21911	96861	37	-15.47	10.14	-5.3	FAN	2.17	
anet	100832	396657	20	-15.66	7.87	-5.3	-	1.69	
anet	136106	559052	35	+16.95	6.68	+5.3	-	1.43	
anet	136645	562196	104	+16.02	5.46	+5.3	-	1.17	
anet	112398	445773	21	+24.08	14.64	+5.3	FAN	3.14	OVERRIDE
anet	120575	486474	53	-13.90	4.70	-5.3	-	1.01	
anet	115863	463049	49	-14.34	7.19	-5.3	-	1.54	
anet	159769	694758	13	-14.74	4.62	-5.3	-	0.99	
anet	35870	179409	42	-14.64	7.93	-5.3	-	1.70	
anet	42901	184799	15	-15.33	6.22	-5.3	-	1.33	
anet	61546	263853	44	-16.12	13.08	-5.3	FAN	2.80	
tfrrs	25565	3	107	-14.00	7.82	-5.3	-	1.68	
anet	11197	51522	17	+18.73	7.50	+5.3	-	1.61	
tfrrs	19931	3	93	-13.85	5.81	-5.3	-	1.24	
tfrrs	6550	1	25	-13.83	2.90	-5.3	-	0.62	
anet	137862	569222	49	-14.63	8.59	-5.3	FAN	1.84	
anet	191703	774373	64	+16.21	5.73	+5.3	-	1.23	
anet	142357	596522	106	-13.67	3.68	-5.3	-	0.79	
anet	159643	663412	60	-14.09	6.57	-5.3	-	1.41	
anet	403	2016	52	-14.04	5.76	-5.3	-	1.23	
tfrrs	6550	3	43	-13.77	3.40	-5.3	-	0.73	
tfrrs	10404	0	88	-14.30	9.52	-5.3	FAN	2.04	
anet	60448	262528	45	-14.44	7.45	-5.3	-	1.60	
anet	20223	90088	12	-14.53	4.07	-5.3	-	0.87	
anet	176340	721901	40	+16.21	4.59	+5.3	-	0.98	
anet	150887	625796	85	-14.13	8.21	-5.3	-	1.76	
tfrrs	22121	0	76	-13.80	4.94	-5.3	-	1.06	
tfrrs	23476	0	241	-13.71	6.85	-5.3	-	1.47	
anet	156625	652834	21	+19.81	9.89	+5.3	FAN	2.12	
anet	27276	118796	16	+22.07	10.99	+5.3	FAN	2.35	
anet	3820	18617	26	-13.88	3.36	-5.3	-	0.72	
anet	184641	751704	26	+17.25	6.58	+5.3	-	1.41	
anet	219704	879697	21	+18.67	8.32	+5.3	-	1.78	
anet	113499	450961	51	-14.12	6.38	-5.3	-	1.37	
anet	243907	971635	96	-14.29	10.04	-5.3	FAN	2.15	
anet	43740	188276	19	+21.09	10.95	+5.3	FAN	2.35	
tfrrs	21389	0	14	-18.67	11.10	-5.3	FAN	2.38	
tfrrs	26101	0	23	-14.62	5.98	-5.3	-	1.28	
anet	132899	555880	66	+17.04	9.87	+5.3	FAN	2.12	
anet	96174	383091	14	-14.65	4.75	-5.3	-	1.02	
anet	84501	339046	68	-14.18	7.90	-5.3	-	1.69	
anet	61293	262689	59	-13.83	4.95	-5.3	-	1.06	
anet	232781	929470	23	+16.98	5.71	+5.3	-	1.22	
anet	199975	802236	42	+17.74	9.75	+5.3	FAN	2.09	
anet	380	5560	50	-14.06	6.12	-5.3	-	1.31	
anet	223112	924348	126	-14.14	10.39	-5.3	FAN	2.23	
tfrrs	10934	0	30	-14.00	4.44	-5.3	-	0.95	
anet	41464	178169	14	+17.22	4.87	+5.3	-	1.04	
anet	272839	1087908	24	-15.01	7.24	-5.3	-	1.55	
anet	84729	333294	54	+16.20	5.60	+5.3	-	1.20	
anet	176186	725195	62	-14.03	6.66	-5.3	-	1.43	
anet	144283	605876	46	-13.88	4.81	-5.3	-	1.03	
tfrrs	21971	1	19	-15.35	7.20	-5.3	-	1.54	
anet	259264	1029373	35	-14.38	6.58	-5.3	-	1.41	
anet	250983	999752	25	-14.27	5.17	-5.3	-	1.11	
tfrrs	13159	3	33	-13.72	3.09	-5.3	-	0.66	
tfrrs	13159	4	33	-13.72	3.09	-5.3	-	0.66	
anet	59169	278382	65	-13.85	5.50	-5.3	-	1.18	
anet	96403	384064	48	+16.18	5.30	+5.3	-	1.13	
anet	42901	184797	30	-13.84	3.74	-5.3	-	0.80	
tfrrs	10404	2	84	-14.06	8.13	-5.3	-	1.74	
tfrrs	11987	1	56	-13.81	4.91	-5.3	-	1.05	
anet	231135	924230	35	-13.97	4.77	-5.3	-	1.02	
anet	92441	364997	26	-15.92	9.84	-5.3	FAN	2.11	
anet	264494	1051495	27	-14.93	7.53	-5.3	-	1.61	
anet	75028	323098	42	+16.83	7.40	+5.3	-	1.59	
anet	46891	200268	18	-15.54	7.45	-5.3	-	1.60	
tfrrs	10400	0	62	-13.70	4.17	-5.2	-	0.89	
anet	235501	941947	99	+16.21	7.91	+5.2	-	1.70	
anet	139458	589092	41	+16.81	7.27	+5.2	-	1.56	
tfrrs	18079	3	52	-13.96	5.84	-5.2	-	1.25	
tfrrs	24517	1	28	-16.16	10.78	-5.2	FAN	2.31	
tfrrs	16292	11	53	-15.27	11.88	-5.2	FAN	2.55	
anet	112908	456702	18	-14.93	6.19	-5.2	-	1.33	
anet	184005	749750	17	+15.84	2.12	+5.2	-	0.45	
tfrrs	9177	6	83	-13.78	5.90	-5.2	-	1.26	
anet	249808	993077	18	-14.04	3.78	-5.2	-	0.81	
tfrrs	23871	3	48	-14.30	7.53	-5.2	-	1.61	
anet	272365	1085818	41	-13.60	2.61	-5.2	-	0.56	
anet	156931	654035	32	-14.86	8.07	-5.2	-	1.73	
anet	121153	498560	15	+22.45	11.16	+5.2	FAN	2.39	
anet	119602	480268	43	-14.05	5.90	-5.2	-	1.26	
anet	13638	70742	26	-14.35	5.73	-5.2	-	1.23	
anet	91888	371784	39	-14.97	9.30	-5.2	FAN	1.99	
anet	84934	334143	32	-16.25	11.80	-5.2	FAN	2.53	
anet	200826	806031	36	+16.25	5.11	+5.2	-	1.10	
anet	148545	646640	14	+17.53	5.47	+5.2	-	1.17	
anet	136645	562195	134	+16.07	8.47	+5.2	FAN	1.81	
anet	5256	25273	78	-13.71	5.16	-5.2	-	1.10	
anet	93219	368359	65	-15.11	12.62	-5.2	FAN	2.70	
anet	234605	938187	32	+16.74	6.34	+5.2	-	1.36	
anet	175412	719153	20	-14.37	5.12	-5.2	-	1.10	
anet	235606	942507	94	+16.38	9.08	+5.2	FAN	1.94	
anet	200826	806030	58	+15.81	3.95	+5.2	-	0.85	
anet	244722	974362	54	+15.92	4.51	+5.2	-	0.97	
anet	160774	670827	58	-15.51	13.44	-5.2	FAN	2.88	
anet	261583	1038325	140	-13.60	5.17	-5.2	-	1.11	
tfrrs	15230	4	16	-15.55	7.14	-5.2	-	1.53	
tfrrs	24603	1	22	-13.99	4.08	-5.2	-	0.87	
anet	209129	837586	34	-14.21	6.10	-5.2	-	1.31	
anet	132202	579471	26	-14.85	7.32	-5.2	-	1.57	
anet	57953	269336	15	-14.63	5.08	-5.2	-	1.09	
anet	108918	430773	152	-13.65	6.67	-5.2	-	1.43	
anet	221112	885002	101	+16.22	8.60	+5.2	FAN	1.84	
tfrrs	25871	0	49	-14.86	10.12	-5.2	FAN	2.17	
tfrrs	21747	2	88	-13.81	6.77	-5.2	-	1.45	
anet	2879	13699	16	-14.28	4.40	-5.2	-	0.94	
anet	64839	279968	61	-14.08	7.52	-5.2	-	1.61	
tfrrs	5305	0	19	+15.84	2.54	+5.2	-	0.54	OVERRIDE
anet	137683	568182	31	+16.24	4.88	+5.2	-	1.05	
tfrrs	19364	3	99	-13.53	3.68	-5.2	-	0.79	
tfrrs	13575	2	304	-13.51	5.90	-5.2	-	1.26	
tfrrs	11651	2	25	-14.07	4.79	-5.2	-	1.03	
anet	160981	676783	47	+16.51	7.09	+5.2	-	1.52	
anet	81621	323561	41	-14.83	9.22	-5.2	FAN	1.98	
anet	199399	799317	35	-14.24	6.39	-5.2	-	1.37	
tfrrs	10404	3	99	-13.72	6.43	-5.2	-	1.38	
tfrrs	22859	5	27	-14.69	7.09	-5.2	-	1.52	
anet	51719	220214	12	-13.80	2.52	-5.2	-	0.54	
tfrrs	6065	2	17	-15.78	7.87	-5.2	-	1.69	
tfrrs	9279	1	107	-13.49	3.31	-5.2	-	0.71	
anet	260069	1032692	128	-13.66	6.57	-5.2	-	1.41	
anet	129741	527660	12	+16.56	3.69	+5.2	-	0.79	
tfrrs	4500	0	29	+16.01	3.98	+5.2	-	0.85	
anet	20198	92324	30	+15.85	3.36	+5.2	-	0.72	
tfrrs	10400	3	128	-13.50	3.76	-5.2	-	0.81	
tfrrs	19364	5	50	-13.63	3.91	-5.2	-	0.84	
anet	109918	437366	79	-14.35	10.37	-5.2	FAN	2.22	
anet	11487	52660	65	+15.61	2.81	+5.2	-	0.60	
tfrrs	23940	0	78	-14.05	8.44	-5.2	FAN	1.81	
anet	20198	92326	44	+16.05	5.10	+5.2	-	1.09	
anet	116349	465711	29	-13.63	2.96	-5.2	-	0.63	
anet	254256	1015157	50	-14.47	8.80	-5.2	FAN	1.88	
anet	51668	220019	13	+16.71	4.14	+5.2	-	0.89	
anet	147957	616897	22	-15.01	7.26	-5.2	-	1.56	
anet	219759	880554	167	-13.55	5.75	-5.2	-	1.23	
tfrrs	24186	4	26	-14.04	4.86	-5.2	-	1.04	OVERRIDE
anet	94306	373188	29	+16.64	5.99	+5.2	-	1.28	OVERRIDE
anet	174931	717573	15	-13.59	1.96	-5.2	-	0.42	
tfrrs	13808	3	93	-13.78	7.03	-5.2	-	1.51	
anet	106645	436149	25	-16.63	11.37	-5.2	FAN	2.44	
anet	227658	908180	12	+19.60	7.54	+5.2	-	1.61	
anet	126740	512986	21	+27.31	18.18	+5.2	FAN	3.89	
anet	256235	1018910	65	+15.88	5.24	+5.2	-	1.12	
anet	90123	355705	14	-14.40	4.52	-5.2	-	0.97	
anet	184789	752246	15	+24.67	13.24	+5.2	FAN	2.84	OVERRIDE
anet	163490	674494	114	-13.87	8.73	-5.2	FAN	1.87	
tfrrs	11651	6	56	-14.02	7.04	-5.2	-	1.51	
anet	31866	174787	17	-13.57	2.04	-5.2	-	0.44	
anet	108584	429312	24	+18.78	9.48	+5.2	FAN	2.03	
tfrrs	23931	1	98	-13.62	5.58	-5.2	-	1.20	
anet	149716	621453	50	-14.10	7.11	-5.2	-	1.52	
anet	218614	874608	70	+15.83	5.21	+5.2	-	1.12	
anet	271614	1082004	130	+16.23	10.31	+5.2	FAN	2.21	
tfrrs	22351	1	24	-14.62	6.60	-5.2	-	1.41	
anet	258139	1025821	12	+17.57	5.27	+5.2	-	1.13	
anet	25852	113085	32	-13.49	2.08	-5.2	-	0.45	
tfrrs	23949	5	20	-13.82	3.52	-5.2	-	0.75	
tfrrs	23064	4	107	-13.67	6.53	-5.2	-	1.40	
anet	261219	1037046	48	+15.91	4.82	+5.2	-	1.03	
tfrrs	11105	1	28	-14.76	7.58	-5.2	-	1.62	
anet	221295	885661	36	+16.00	4.63	+5.2	-	0.99	
anet	161205	667703	23	-13.52	2.19	-5.2	-	0.47	
anet	110223	436359	26	+17.49	7.66	+5.2	-	1.64	
anet	85224	335407	16	-17.50	10.50	-5.2	FAN	2.25	
tfrrs	22389	0	55	-14.04	7.26	-5.2	-	1.56	
anet	201846	811792	59	+15.78	4.59	+5.2	-	0.98	
anet	84645	332914	59	-14.92	11.68	-5.2	FAN	2.50	
anet	175415	720514	18	+16.68	4.92	+5.2	-	1.05	
anet	210240	841336	43	+17.57	10.05	+5.2	FAN	2.15	
anet	25206	110429	21	+16.02	3.61	+5.2	-	0.77	
anet	140778	586906	15	-14.35	4.64	-5.2	-	0.99	
tfrrs	23018	1	35	-17.62	15.83	-5.2	FAN	3.39	OVERRIDE
anet	225194	899620	20	-13.92	3.97	-5.2	-	0.85	
tfrrs	23949	10	18	-14.96	6.57	-5.2	-	1.41	
anet	163531	679577	13	-14.03	3.53	-5.2	-	0.76	
anet	22566	99484	43	+16.18	5.93	+5.2	-	1.27	
anet	233451	932598	32	+16.19	5.17	+5.2	-	1.11	
anet	86234	356247	21	-14.71	6.51	-5.2	-	1.39	
anet	265034	1052240	13	+20.51	8.85	+5.2	FAN	1.90	
anet	235511	941972	104	+16.20	9.41	+5.2	FAN	2.02	
anet	251811	1003427	12	+20.76	8.74	+5.2	FAN	1.87	
anet	134403	549583	15	-16.39	8.55	-5.2	FAN	1.83	
anet	59124	253083	35	+15.91	4.37	+5.2	-	0.94	
anet	140501	585203	41	+15.53	2.47	+5.2	-	0.53	
anet	243976	973950	51	+15.98	5.69	+5.2	-	1.22	
anet	208547	835633	69	+16.04	6.95	+5.2	-	1.49	
anet	59401	254311	29	-14.57	7.27	-5.2	-	1.56	
tfrrs	14050	2	70	-13.46	3.49	-5.2	-	0.75	
tfrrs	22651	2	63	-13.84	6.76	-5.2	-	1.45	
anet	161238	680485	39	+18.97	12.66	+5.2	FAN	2.71	
tfrrs	22428	1	53	-13.97	6.97	-5.2	-	1.49	
anet	160559	665997	53	-14.63	10.13	-5.2	FAN	2.17	
anet	60511	259227	12	-13.93	3.22	-5.2	-	0.69	
anet	117671	472872	429	-15.32	36.25	-5.2	FAN	7.77	
anet	216717	865418	23	-14.68	6.83	-5.2	-	1.46	
tfrrs	19459	1	53	-14.49	9.60	-5.2	FAN	2.06	
anet	147957	616896	31	-14.36	6.89	-5.2	-	1.48	
anet	80214	317631	30	-13.85	4.81	-5.2	-	1.03	
tfrrs	18505	2	94	-13.40	3.43	-5.2	-	0.73	
anet	135850	557636	26	-17.13	12.84	-5.2	FAN	2.75	
anet	260008	1069125	41	+16.94	8.44	+5.2	FAN	1.81	
anet	235612	942540	94	+16.03	8.28	+5.2	-	1.77	
anet	96472	384362	14	-14.65	5.29	-5.2	-	1.13	
anet	107896	426451	23	-15.34	8.49	-5.2	FAN	1.82	
tfrrs	23871	1	55	-13.98	7.31	-5.2	-	1.57	
