  246955    979697  ov=  4828.0  UNIFORM_POS  n=  36 +36   -0    clean=0    iqr=  9.7 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
  197513    791357  ov=  2400.0  PARTIAL      n=  21 +21   -0    clean=0    iqr= 27.1 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
   26074         1  ov= 8046.72  PARTIAL      n=  40 +39   -0    clean=1    iqr= 14.2 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  197513    791358  ov=  2400.0  PARTIAL      n=  19 +19   -0    clean=0    iqr= 36.3 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
   25409         3  ov= 8046.72  PARTIAL      n=  67 +67   -0    clean=0    iqr= 13.0 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
   26933         0  ov= 8046.72  PARTIAL      n=  39 +38   -0    clean=1    iqr= 14.7 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  217913    871664  ov=  3218.0  UNIFORM_POS  n=  42 +42   -0    clean=0    iqr=  7.3 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
    9756         3  ov=5021.15328  UNIFORM_POS  n=  28 +28   -0    clean=0    iqr=  8.8 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
  164853    680324  ov=  2300.0  UNIFORM_NEG  n=  29 +0    -29   clean=0    iqr=  5.3 fan=-  wrong snap, label too SHORT -> page-verify drafted value
   26933         1  ov= 8046.72  PARTIAL      n=  44 +43   -0    clean=1    iqr= 13.1 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  260890   1035860  ov=  3200.0  UNIFORM_POS  n=  13 +13   -0    clean=0    iqr=  8.1 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
   78732    311476  ov=  3000.0  UNIFORM_POS  n=  17 +17   -0    clean=0    iqr=  6.0 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
   14170         1  ov=  1600.0  PARTIAL      n=  21 +0    -21   clean=0    iqr= 10.7 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
   26200         1  ov= 8046.72  PARTIAL      n=  38 +38   -0    clean=0    iqr= 14.2 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
   25409         2  ov= 8046.72  PARTIAL      n=  66 +65   -0    clean=1    iqr= 14.0 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  142026    594540  ov=  4828.0  UNIFORM_POS  n=  29 +29   -0    clean=0    iqr= 10.3 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
   76944    307108  ov=  3200.0  UNIFORM_POS  n=  36 +36   -0    clean=0    iqr= 10.0 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
   25409         1  ov= 8046.72  PARTIAL      n=  46 +46   -0    clean=0    iqr= 12.0 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
    7589         1  ov=  8000.0  UNIFORM_POS  n=  57 +57   -0    clean=0    iqr=  4.9 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
    6916         1  ov=    6437  UNIFORM_NEG  n=  19 +0    -19   clean=0    iqr=  2.1 fan=-  wrong snap, label too SHORT -> page-verify drafted value
   59678    255507  ov=  5000.0  UNIFORM_POS  n=  32 +32   -0    clean=0    iqr=  6.6 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
   26200         0  ov= 8046.72  PARTIAL      n=  31 +29   -0    clean=2    iqr= 18.0 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
   62885    273791  ov=  2816.0  PARTIAL      n=  41 +36   -1    clean=4    iqr= 30.5 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
   26415         1  ov= 8046.72  PARTIAL      n=  20 +20   -0    clean=0    iqr= 15.7 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  206107    826410  ov=  4000.0  PARTIAL      n=  16 +16   -0    clean=0    iqr= 18.7 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
   92506    365295  ov=   804.0  PARTIAL      n=  26 +0    -22   clean=4    iqr= 15.7 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
   62278    267353  ov=  3000.0  PARTIAL      n=  27 +0    -24   clean=3    iqr= 15.0 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
   51347    218773  ov=  4000.0  UNIFORM_NEG  n=  58 +0    -56   clean=2    iqr=  8.2 fan=-  wrong snap, label too SHORT -> page-verify drafted value
  259217   1029163  ov=  3218.0  PARTIAL      n=  61 +57   -0    clean=4    iqr= 12.2 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  194614    789024  ov=  3200.0  PARTIAL      n=  43 +40   -0    clean=3    iqr= 14.8 fan=FAN  mixed content; label right for clean half -> per-result pins ONLY
  193224    796892  ov=  3379.0  UNIFORM_POS  n=  15 +15   -0    clean=0    iqr=  6.4 fan=-  check POOL/GENDER first (9308 lesson); else label too LONG
