# n_meets	state	city	venue_name	location_raw	gps_lat	gps_long   (fill the last two with your geocoder)
3	WV		V.A. Hospital	V.A. Hospital Clarksburg, WV 26301		
3	ND		Rose Creek Golf Course	Rose Creek Golf Course Fargo, ND 58102		
3	FL	Davenport	RCHS	RCHS Davenport, FL		
3	NC		Wingate University	Wingate University 224 East Wilson St. Wingate, NC 28174		
3	IL		Sauk Valley Community College Campus	Sauk Valley Community College Campus Dixon, IL 61021		
3	TN		Maryville College	Maryville College Maryville, TN 37803		
3	TN		Freed-Hardeman University Cross-Country Course	Freed-Hardeman University Cross-Country Course Henderson, TN 38340		
3	MD		Towson	Towson Towson, MD 21252		
3	FL		Ribault	Ribault Jacksonville, FL 32208		
3	AL		Faith Academy	Faith Academy Mobile, AL 36608		
3	FL	Marathon	Marathon	Marathon Marathon, FL		
3			Wellesley College	Wellesley College Wellesley, MA 2481		
3	MI		Hope College X-C Course (Ridge Point Church)	Hope College X-C Course (Ridge Point Church) Holland, MI 49424		
3	NC		Old Keith Hills Golf Course	Old Keith Hills Golf Course Lillington, NC 27546		
3	WV		Pipestem State Park	Pipestem State Park 3405 Pipestem Drive Pipestem , WV 25979		
3	MA		Medfield	Medfield Medfield, MA 02052		
3	IN		NorthWood	NorthWood 2101 N Main St Nappanee, IN 46550		
3	KS		Kansas Pavilions	Kansas Pavilions Valley Center, KS 67147		
3	FL		WA West Athletic Complex	WA West Athletic Complex Lauderdale Lakes, FL 33308		
3	FL		St Cloud High School	St Cloud High School 2000 Bulldog Lane St. Cloud, FL 34769		
2	NH		Hopkinton State Fairgrounds	Hopkinton State Fairgrounds 513 Park Ave Hopkinton, NH 03229		
2	TX		Texas A&M International University	Texas A&M International University 5201 University Blvd. Laredo, TX 78041		
2	WV		Meadowood Soccer Complex	Meadowood Soccer Complex Tornado, WV 25202		
2	TX		Old Settlers Park	Old Settlers Park , TX		
2	NC		Beeson Park	Beeson Park Kernersville, NC 28645		
2	AR		Ozarks (Ark.)	Ozarks (Ark.) 1000 Market St Clarksville, AR 72830		
2	VT		Red Rocks Park	Red Rocks Park South Burlington, VT 05405		
2	PA		Westminster (Pa.)	Westminster (Pa.) New Wilmington, PA 16142		
