# n_meets	state	city	venue_name	location_raw	gps_lat	gps_long   (fill the last two with your geocoder)
1	FL		UNF Golf Course	UNF Golf Course 1 Betty Holzendorf Drive Jacksonville, FL 32224		
1						
1						
1						
1						
1						
1						
1	PA		Cross Country Course	Cross Country Course Center Valley, PA 18034		
1	AL		Stanley Park, Westfield, MA	Stanley Park, Westfield, MA 677 Western Avenue Westfield, AL 01040		
1						
1						
1	MO		NW Missouri	NW Missouri Maryville, MO 12345		
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1	TX		Chamizal National Memorial Park	Chamizal National Memorial Park El Paso, TX 79905		
1	PA		St FRANCIS COLLEGE	St FRANCIS COLLEGE Loretto, PA 15940		
1						
1						
1	NY		SUNY Delhi Golf Course	SUNY Delhi Golf Course Delhi, NY 13753		
1						
1						
1						
1						
1	TX		University of North Texas, Discovery Park	University of North Texas, Discovery Park 3940 N. Elm St. Denton, TX 76207		
1	LA	Baton Rouge	Highland Road Park	Highland Road Park Baton Rouge, LA		
1						
1	OH		Akron	Akron North Canton, OH 44720		
1	FL		St Leo University	St Leo University - The Abbey Course Saint Leo, FL 33574		
1	PA		Weast Branch XC Course	Weast Branch XC Course Lock Haven, PA 17745		
1	DE		DSU  Outreach & Research Center	DSU Outreach & Research Center Dover, DE 19709		
1	MI		Pine View Golf Club	Pine View Golf Club 52065 Pulver Road Three Rivers, MI 49093		
1						
1	AL		Harry Pritchett XC Course, Tuscaloosa, Al.	Harry Pritchett XC Course, Tuscaloosa, Al. Tuscaloosa, AL 35487		
1	SC		Winthrop University	Winthrop University Rock Hill, SC 34189		
1						
1	PA		Schenley	Schenley Pittsburgh, PA 15229		
1	TX		Pecan Park	Pecan Park Nacogdoches, TX 75962		
1	NY		VCP	VCP Bronx, NY 10471		
1	NJ		Rosedale Park	Rosedale Park Hopewell, NJ 08628		
1						
1	NY	Kings Park	Sunken Meadow	Sunken Meadow Kings Park, NY		
1	MI		Marquette, MI 49855	Marquette, MI 49855		
1	PA		LHU XC Foundation Fields	LHU XC Foundation Fields Lock Haven, PA 17745		
1						
1	CA		Riverside City Cross Country Course	Riverside City Cross Country Course Riverside, CA 92501		
1	IN		Angel Mounds Cross Country Course	Angel Mounds Cross Country Course Evansville, IN 47714		
1	OH		Wallace Lake	Wallace Lake Berea, OH 44017		
1	NC		WakeMed Park Cross Country Course	WakeMed Park Cross Country Course Cary, NC 27511		
1	MT		Great Falls	Great Falls UP, 1301 20th Steet South Great Falls, MT 59405		
1						
1	TX		West Texas A&M Univ	West Texas A&M Univ Canyon, TX 79016		
1						
1						
1	PA	Abington	St. Vincent	St. Vincent Abington, PA		
1						
1						
1						
1	TN		Tennessee Tri-Star Cros Country Challenge	Tennessee Tri-Star Cros Country Challenge 2450 E J. Chapman Dr. Knoxville, TN 37996		
1						
1	AL		Oakville Indian Mounds Course	Oakville Indian Mounds Course Danville, AL 35601		
1	OH		Kenyon CC Course	Kenyon CC Course Gambier, OH 43022		
1	WV		Davis & Elkins, WV	Davis & Elkins, WV Elkins, WV 26241		
1	NC		Roger Lake Kristi	Roger Lake Kristi Greenville, NC 27858		
1	SD		Mounty Marty College	Mounty Marty College Yankton, SD 51101		
1	PA		Dicksonson Park	Dicksonson Park Carlisle, PA 17013		
1						
1						
1						
1						
1	ND		Rose Creek Golf Course	Rose Creek Golf Course 1500 East Rose Creek Pkwy S Fargo, ND 58104		
1	SC		Milliken Research Park	Milliken Research Park 920 Milliken Park Spartanburg, SC 29301		
1	TX		PVAMU	PVAMU 700 University Drive Prairie View, TX 77446		
1						
1	WI		Green Bay Arboretum Trails	Green Bay Arboretum Trails Green Bay, WI 54311		
1						
1	VA		Bridgewater College (Va.)	Bridgewater College (Va.) 402 E College St. Bridgewater, VA 22812		
1						
1	OH		LC Boles Golf Course	LC Boles Golf Course Wooster, OH 44691		
1	WV		Davis & Elkins College	Davis & Elkins College Elkins, WV 26241		
1						
1						
1	NY	Oneonta	Hartwick College	Hartwick College Oneonta, NY		
1	MI		Stoatin Brae Golf Course	Stoatin Brae Golf Course Augusta, MI 49008		
1	SD		Adams Nature Preserve	Adams Nature Preserve North Sioux City, SD 60572		
1	FL		Holloway Park	Holloway Park Lakeland, FL 32779		
1	VA		Eastern State Course	Eastern State Course Williamsburg, VA 23185		
1	TX		Dale Watts Cross Country course	Dale Watts Cross Country course College Station, TX 77843		
1	VA		Elizabeth Campus Fields	Elizabeth Campus Fields 1100 Kime Lane Salem, VA 24153		
1	RI		Campus Course	Campus Course Smithfield, RI 02917		
1						
1						
1	WA		Lake Sammamish	Lake Sammamish 2000 Northwest Sammamish Road Issaquah, WA 98027		
1	NH		Hosted by Franklin Pierce University	Hosted by Franklin Pierce University Hopkinton, NH 03229		
1	SD		Madison Country Club	Madison Country Club Madison, SD 57042		
1	SC		The Hackler Course at Coastal Carolina University	The Hackler Course at Coastal Carolina University 107 Citadel Drive Conway, SC 29526		
1						
1	PA		Cheyney University	Cheyney University Cheyney, PA 19319		
1	TX		Memorial Park Sugar Land	Memorial Park Sugar Land Sugar Land, TX 77479		
1	NY		Fenner Fields, Cazenovia, NY	Fenner Fields, Cazenovia, NY Jamesville, NY 13502		
1						
1	PR		U.P.R. Rio Piedras	U.P.R. Rio Piedras San Juan, PR 00960		
1	WI		St. Beloit Club Golf Course	St. Beloit Club Golf Course Beloit, WI 53511		
1	NY		Van Cortland Park	Van Cortland Park Bronx, NY 10462		
1						
1	CA		King City	King City King City, CA 93924		
1	CA		Irvine Regional Park (Orange, CA)	Irvine Regional Park (Orange, CA) Irvine, CA 92862		
1						
1						
1	NM		NMSU-Intramural Fields	NMSU-Intramural Fields Las Cruces , NM 88003		
1						
1						
1	MN	City Not Supplied	Pike Island	Pike Island City Not Supplied, MN		
1	NH		Belmont High School	Belmont High School Belmont, NH 03246		
1	VT		Hard'ack Rekreational Area	Hard'ack Rekreational Area St Albans City, VT 05478		
1	NC	Laurinburg	St. Andrews	St. Andrews Laurinburg, NC		
1	WA		Colfax Golf Club	Colfax Golf Club Colfax, WA 99111		
1	IL		Weibring Golf Course	Weibring Golf Course 800 Gregory Street Normal, IL 61761		
1						
1						
1						
1	MI		University Park Golf Course	University Park Golf Course Muskegon, MI 48109		
1	SC		SOAR Athletic Fields	SOAR Athletic Fields Columbia, SC 29203		
1	CA		Fairbanks Cross Country Course	Fairbanks Cross Country Course San Luis Obispo, CA 93924		
1						
1	MA	Pembroke	Pembroke HS	Pembroke HS Pembroke, MA		
1	IA		Wartburg XC Course	Wartburg XC Course - Waverly, IA Wartburg, IA 50677		
1						
1	PA		Cairn University Campus	Cairn University Campus 200 Manor Avenue Langhorne, PA 19047		
1	NY		Broadway Park	Broadway Park Broadway Ave. Sayville, NY 11782		
1						
1						
1						
1	MD		John Caslin XC Course	John Caslin XC Course Towson, MD 21204		
1						
1	FL		Dreher Park	Dreher Park West Palm Beach, FL 33405		
1	NC		Chowan University	Chowan University Murfreesboro, NC 27855		
1						
1						
1						
1	OH		Clark County Fairgrounds	Clark County Fairgrounds Springfield, OH 45501		
1	MI		Heritage Park	Heritage Park 3221 North Adrian Hwy Adrian, MI 49221		
1	SD		Madison Golf and Country Club	Madison Golf and Country Club 45152 233rd St Madison, SD		
1	CA	El Dorado	El Dorado Park	El Dorado Park El Dorado, CA		
1	NY		Van Cortland Park	Van Cortland Park New York, NY 11111		
1	NY	Guilderland	Tawasentha Town Park	Tawasentha Town Park Guilderland, NY		
1	FL		Merritt Island	Merritt Island Merritt Island, FL 32926		
1	FL	Bradenton	Saint Stephen's Episcopal School	Saint Stephen's Episcopal School Bradenton, FL		
1	IN		Sunset Hill Farm	Sunset Hill Farm 775 Meridian Road Valparaiso, IN 46383		
1	MA		Williams	Williams COLE FIELD WILLIAMSTOWN, MA 01267		
1						
1	FL		STU CAMPUS	STU CAMPUS Miami, FL 33054		
1	PA		Lancaster Bible College	Lancaster Bible College LBC XC Course Lancaster, PA 17601		
1						
1	IN	Veedersburg	Fountain Central High School	Fountain Central High School Veedersburg, IN		
1	PA		F&M Baker Campus	F&M Baker Campus Lancaster, PA 17604		
1	AR		Harding Unviersity	Harding Unviersity Searcy, AR 72143		
1	FL	Melbourne	Wickham Park	Wickham Park Melbourne, FL		
1						
1	CO		Buffalo Ranch	Buffalo Ranch Boulder, CO 80309		
1						
1	MA		Bradley Palmer State Park	Bradley Palmer State Park Essex County, MA 01915		
1	VT		NVU-Lyndon	NVU-Lyndon Lyndon, VT 05819		
1	WV	Elkins	Davis & Elkins	Davis & Elkins Elkins, WV		
1	MI	MI	Forest Akers East Golf Course	Forest Akers East Golf Course East Lansing, MI, MI		
1	NJ	Lincroft	Brookdale CC	Brookdale CC Lincroft, NJ		
1	SC		Winthrop Farm Cross Country Course	Winthrop Farm Cross Country Course Rock Hill, SC 29733		
1						
1						
1						
1	NC		High Point University	High Point University High Point, NC 27268		
1	WI		Lake Breeze Golf Course	Lake Breeze Golf Course Winneconne, WI 12345		
1						
1	TX		Rice	Rice 6100 South Main Houston, TX 77251		
1	PA		Gwynedd Mercy	Gwynedd Mercy 1325 Sumneytown Pike Gwynedd Valley, PA 19437		
1						
1	TX	Sherman	Pecan Grove Park	Pecan Grove Park Sherman, TX		
1	OK		Gordon Cooper Technology Center	Gordon Cooper Technology Center 1 John C Burton Dr. Shawnee, OK 74804		
1	SC	Aiken	Generations Park	Generations Park Aiken , SC		
1	PA		Belmont Plateau	Belmont Plateau Doylestown, PA 19131		
1						
1						
1						
1	VA		Roanoke	Roanoke 2501 Green Hill Park Road Salem, VA 24153		
1	CO		Air Force	Air Force USAF Academy, CO 80840		
1	PA		Oval at Schendley Park	Oval at Schendley Park Pittsburgh, PA 15222		
1						
1	WI		Greenfield Prk	Greenfield Prk Milwaukee, WI 53234		
1	NJ		CSE	CSE Morristown, NJ 07940		
1						
1	IN		Purdue Northwest Westville	Purdue Northwest Westville 1401 US 421 Westville, IN 46391		
1	KY		Berea College	Berea College Berea, KY 40404		
1	NE		Skutt Catholic Athletic Complex	Skutt Catholic Athletic Complex Omaha, NE 68178		
1	IN		Sunset Hill Farm County Park	Sunset Hill Farm County Park 775 Meridian Rd Valparaiso, IN 46385		
1						
1	NE		Auburn High School	Auburn High School Auburn, NE 68305		
1	TX		Angelo State	Angelo State San Angelo, TX 79710		
1						
1	IN		Franklin	Franklin Franklin, IN 46131		
1	IN		Northview Church	Northview Church Carmel , IN 46033		
1	MI		Hudson MIills Metropark	Hudson MIills Metropark Dexter, MI 48130		
1						
1						
1	WV		Lotito Park	Lotito Park 1780 Stadium Drive Bluefield, WV 24605		
1	FL		Sperling XC Course	Sperling XC Course Deland, FL 32724		
1	CT		University of St. Joseph	University of St. Joseph West Hartford, CT 19131		
1	NM	Las Vegas	NMHU Golf Course	NMHU Golf Course Las Vegas, NM		
1	NY		Sunken Meadow State Park	Sunken Meadow State Park Kings Park, NY 11754		
1						
1	MN	City Not Supplied	St. Catherines	St. Catherines City Not Supplied, MN		
1						
1	MO		Griffon XC	Griffon XC St. Joseph, MO 64501		
1	IN		Brownsburg	Brownsburg Brownsburg, IN 46112		
1						
1	MT		Sleepy Hollow Golf Course	Sleepy Hollow Golf Course Dillon, MT 59725		
1	CA		Hartnell	Hartnell Salinas, CA 93901		
1	FL		Monsignor Pace Campus	Monsignor Pace Campus Miami, FL 33054		
1						
1						
1						
1						
1	VT		NVU Lyndon	NVU Lyndon Lyndon, VT 05849		
1	AL		Huntingdon Cross Country Course	Huntingdon Cross Country Course 4080 Moore Road Grady, AL 36036		
1	TN		Reflection Ridge	Reflection Ridge Lookout Mountain, TN 30750		
1	FL		Lely	Lely Naples, FL 34113		
1	FL		Harmony High School	Harmony High School St. Cloud, FL 34769		
1	SC		Jasper Park	Jasper Park Hardeeville, SC 31402		
1	MT	Butte	Highland View Golf Course	Highland View Golf Course Butte, MT		
1	SC		Milliken	Milliken 920 Milliken Rd Spartanburg, SC 29301		
1	HS		Martin County HS	Martin County HS 16001 West SR-84 Jupiter, FL 34994		
1						
1						
1	TN		Walters State Course	Walters State Course Morristown, TN 37814		
1						
1						
1	PA		LBC Campus Course	LBC Campus Course Lancaster, PA 17601		
1	NC	Pembroke	UNC Pembroke	UNC Pembroke Pembroke, NC		
1						
1	OR		Michelbook Country Club	Michelbook Country Club McMinnville, OR 97128		
1	AZ	Surprise	White Tank Regional Mountain Park	White Tank Regional Mountain Park Surprise, AZ		
1	AZ		Randolph Golf Course	Randolph Golf Course Tucson, AZ 85711		
1	FL		MDCA Campus	MDCA Campus Mount Dora, FL 32757		
1	NY		Bassett Park	Bassett Park Williamsville, NY 14226		
1						
1	IN		Taylor Univ Farm	Taylor Univ Farm Upland, IN 46953		
1	CO	Durango	Fort Lewis	Fort Lewis Durango, CO		
1	IN		Blue River Cross Country Course	Blue River Cross Country Course Shelbyville, IN 00000		
1						
1	IN		Mt Vernon HS	Mt Vernon HS Fortville, IN 46040		
1	IN		Penn	Penn 59400 Elm Rd Mishawaka, IN 46544		
1						
1	AR		Indiana East	Indiana East , AR		
1						
1	FL		Lake McKeithan	Lake McKeithan Brooksville, FL 34601		
1	FL	Ruskin	Lennard HS	Lennard HS Ruskin, FL		
1	FL		Pace Campus	Pace Campus 16001 West SR-84 Miami Gardens, FL 33054		
1						
1						
1	NH		Newmarket Junior/Senior High School	Newmarket Junior/Senior High School Newmarket, NH 03857		
1	NH		North Star Timing	North Star Timing Proctor Academy, NH 03303		
1	IN	West Lebanon	Hanging Rock	Hanging Rock West Lebanon, IN		
1	NH		Newmarket Junior/Senior High School	Newmarket Junior/Senior High School 213 S. Main Street Newmarket, NH 03857		
1	GA	West Point	Point University	Point University West Point, GA		
1	TN		Milligan University	Milligan University Milligan, TN 37682		
1	IN		Rossville	Rossville Rossville, IN 46065		
1	ME		PVCC	PVCC Orono, ME 04469		
1						
1	IN	West Lebanon	Hanging Rock Camp	Hanging Rock Camp West Lebanon, IN		
1						
1	FL		Gateway Fairgrounds	Gateway Fairgrounds Lake City, FL 32025		
1						
1	FL		Key West	Key West Key West, FL 33040		
1	MT	Great Falls	Anaconda Golf Course	Anaconda Golf Course Great Falls, MT		
1	NH	Bethlehem	SKI HEARTH FARM	SKI HEARTH FARM Ski Hearth Farm Bethlehem, NH		
1						
1	MT		Cottonwood Country Club	Cottonwood Country Club 508 Country Club Rd Glendive, MT 59330		
1	TN		Mike Rose Complex	Mike Rose Complex - Memphis,TN - 8/31/2024 Memphis, TN 38125		
1						
1	FL	Brooksville	Sand Hill Scout Reservation	Sand Hill Scout Reservation Brooksville, FL		
1						
1	FL		Crystal River High School	Crystal River High School Crystal River, FL 34429		
1						
1	FL		DeSoto County	DeSoto County Arcadia, FL 33821		
1	CA		Cal St. Fullerton	Cal St. Fullerton Carbon Canyon Regional, CA 92834		
1						
1	WA		The Course	The Course 2521 N Flora Rd Spokane, WA 99216		
1	FL		Jacksonville	Jacksonville Jacksonville, FL 32211		
1	NC		Owen's Park	Owen's Park Louisburg, NC 27551		
1	IA		Indian Hills Community College	Indian Hills Community College Ottumwa, IA 50023		
1						
1	IN	Borden	Borden	Borden Borden, IN		
1	NC		Dorothea Dix Park	Dorothea Dix Park Raleigh, NC 27603		
1	FL		Trinity Christian Academy	Trinity Christian Academy Lake Worth, FL 33463		
1	FL		Bradenton Christian School	Bradenton Christian School Bradenton, FL 34200		
1			Mercyhurst	Mercyhurst Girard, PA 1641l7		
1	IN		Eagle Park	Eagle Park P.O. Box 68 Nashville, IN 47448		
1	FL		MCHS	MCHS Stuart, FL 34994		
1	VA		Sweet Briar College	Sweet Briar College Amherst, VA 24595		
1						
1	TX		Cris Quinn Soccer Complex	Cris Quinn Soccer Complex Beaumont, TX 77713		
1	MN		Wapikada Golf Course	Wapikada Golf Course Sauk Rapids, MN 56379		
1	FL		Chiefland	Chiefland Chiefland, FL 32626		
1	MO		Cape Splash Center	Cape Splash Center Cape Girardeau, MO 67301		
1	FL		Berkeley Prep	Berkeley Prep Tampa, FL 33615		
1	IN		The Farm	The Farm - Taylor XC Course Upland, IN 46953		
1						
1	FL		Hebrew Academy	Hebrew Academy Miami Beach, FL 33140		
1	IN	Attica	Attica	Attica Attica, IN		
1	FL		Atlantic Coast	Atlantic Coast Jacksonville, FL 32119		
1	NH		Con-Val Regional High School	Con-Val Regional High School 184 Hancock Road Peterborough, NH 03458		
1	KY		Phil Moore Park	Phil Moore Park Midway, KY 40347		
1						
1	MI		Forest Akers Golf Course	Forest Akers Golf Course East Lansing, MI 00000		
1	TN		University of the South	University of the South Suwenee, TN 30066		
1	IN		LaVern Gibson Championship Cross Country Cour	LaVern Gibson Championship Cross Country Cour 599 S Tabortown St Terre Haute, IN 47803		
1	FL	Brooksville	McKethan Lake	McKethan Lake Brooksville, FL		
1	WI		Shorewood Cross Country Course | Green Bay WI	Shorewood Cross Country Course | Green Bay WI 2532 Shorewood Drive Green Bay, WI 00000		
1	FL		PRHS	PRHS 1655 victory lane Naples, FL 34120		
1	AL		Graham Creek Nature Preserve	Graham Creek Nature Preserve 1 Pride Dr. Gulf Shores, AL 36527		
1	LA		UL-Monroe	UL-Monroe Monroe, LA 71209		
1	FL		Episcopal FL	Episcopal FL Jacksonville, FL 32207		
1	FL		@ First Coast HS	@ First Coast HS Jacksonville, FL 32208		
1	TX		Brenham High School	Brenham High School 525 A H Ehrig Dr Brenham, TX 77833		
1	FL		Treasure Coast	Treasure Coast Port St. Lucie, FL 34953		
1						
1	FL		Satellite	Satellite Satellite Beach, FL 32937		
1	ND		Parkhurst Recreation Area	Parkhurst Recreation Area 6030 College Lane Jamestown, ND 58405		
1	AR		Lyon College	Lyon College Batesville, AR 72503		
1	NH		The Derryfield School	The Derryfield School 2108 River Rd. Manchester, NH 03104		
1	FL		Melbourne	Melbourne Melbourne, FL 32901		
1						
1	ME	Castine	Maine Maritime Academy	Maine Maritime Academy Castine, ME		
1	MA		Mass. Maritime Academy	Mass. Maritime Academy 101 Academy Drive Bourne, MA 02532		
1	NH		Alvirne High School	Alvirne High School 200 Derry Rd., Rte. 102 Hills House X-C Course - Hudson, NH 03051		
1	FL		West Orange HS	West Orange HS 1625 S. Beulah Rd. Winter Garden, FL 34787		
1	FL		Trinity Catholic	Trinity Catholic 2600 S.W. 42nd St. Ocala, FL 34474		
1	OH		Lehman Cross Country Course	Lehman Cross Country Course Westerville, OH 43081		
1	KY		Falling Springs Park	Falling Springs Park Versailles, KY 40383		
1	IL		St. James Farms	St. James Farms Wrenville, IL 60555		
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1	ME		University of Maine	University of Maine College Avenue Orono, ME 04469		
1						
1						
1						
1	MN		Como Park Golf Course	Como Park Golf Course - St. Paul, MN St. Paul, MN 55103		
1	TX		Texas	Texas Austin, TX 78713		
1	OH		Elvin R.  King Cross Country Course	Elvin R. King Cross Country Course 251 N. Main Street Cedarville, OH 45314		
1	MT		University of Montana Golf Course	University of Montana Golf Course Missoula, MT 59812		
1	TN		Buffalo Valley Golf Course, Unicoi, TN	Buffalo Valley Golf Course, Unicoi, TN Unicoi, TN 37692		
1	VT		Johnson State College	Johnson State College Johnson, VT 05656		
1	GA		Americus Sumter Park	Americus Sumter Park 726 S Martin Luther King Blvd Americus, GA 31719		
1	TX	Tyler	UT Tyler Soccer Fields	UT Tyler Soccer Fields Tyler, TX		
1	PA		Herr Park Course	Herr Park Course Lancaster, PA 17603		
1	MN	City Not Supplied	St. Kates	St. Kates City Not Supplied, MN		
1	KY	City Not Supplied	Yellow Creek Park	Yellow Creek Park City Not Supplied, KY		
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1	WA		Ft. Steilacoom Park	Ft. Steilacoom Park Tacoma, WA 98416		
1						
1						
1						
1						
1	OH		Capital University	Capital University Columbus, OH 43209		
1	KS		Prairie Ridge Park	Prairie Ridge Park Hutchinson, KS 67501		
1						
1						
1						
1	MI		Goodells County Park	Goodells County Park Goodells, MI 48653		
1	MA		Gordon College	Gordon College Wenham, MA 04005		
1						
1	IL		University of IL	University of IL - Springfield Springfield, IL 60431		
1						
1						
1						
1						
1						
1	WI		Lake Breezee Golf Course	Lake Breezee Golf Course Winneconne, WI 12345		
1						
1						
1						
1						
1						
1	NH		College Woods Course	College Woods Course Durham, NH 03824		
1						
1						
1						
1						
1	TX		River Creek Golf Course	River Creek Golf Course 1605 FM 1177 Wichita Falls, TX 76305		
1			CWRU Squire Valleeview Farm	CWRU Squire Valleeview Farm Hunting Valley, OH 44		
1			Lyon College	Lyon College		
1						
1	WI		Wayne E. Dannehl National Cross Country Course	Wayne E. Dannehl National Cross Country Course Kenosha, WI 53144		
1	ME		Battery Park	Battery Park - UNE Biddeford, ME 04005		
1	MN		Highland 9-Hole Golf Course	Highland 9-Hole Golf Course St. Paul, MN 55104		
1						
1	NY		Plattsburgh	Plattsburgh Plattsburgh, NY 12901		
1	SC	Newberry	The Farm	The Farm Newberry, SC		
1						
1						
1	IN		Blue River CC Course	Blue River CC Course 725 Lee Blvd Shelbyville, IN 46176		
1						
1						
1	CT		Stenger Farm	Stenger Farm New London, CT 06320		
1	OF	Wilberforce	Central State University	Central State University Wilberforce, OF		
1	FL		Eagle Springs Golf Course	Eagle Springs Golf Course 171 Country Club Lane Defuniak Springs, FL 32312		
1						
1						
1						
1						
1	IN		Sunset Hill Farm	Sunset Hill Farm 775 Meridian Rd Valparaiso, IN 46383		
1						
1	FL		Highlander Park	Highlander Park Dunedin, FL 34698		
1						
1						
1						
1	FL		The Claw	The Claw Tampa, FL 11111		
1						
1						
1						
1						
1						
1	NY		Hudson Valley Sportsdome	Hudson Valley Sportsdome 240 Milton Turnpike Milton, NY 12547		
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1	PA		Rose Tree Park	Rose Tree Park Media, PA 12345		
1						
1						
1	MD		Utica District Park	Utica District Park Frederick, MD 21701		
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1	MI		Hillsdale College	Hillsdale College Hillsdale, MI 49242		
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1	PR		U.P.R. Cayey	U.P.R. Cayey Avenida Antonio R. Barcel 205 Cayey, PR 00736		
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1	TX		Western Texas Cross Country Course	Western Texas Cross Country Course Snyder, TX 79549		
1						
1						
1						
1						
1			Grove City	Grove City City Not Supplied,		
1						
1						
1						
1						
1						
1						
1						
1						
1	CA		Oxnard	Oxnard Oxnard, CA 93033		
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1	IL	WARRENVILLE	ST. JAMES FARM	ST. JAMES FARM WARRENVILLE, IL		
1						
1						
1						
1	PA		Carlisle, PA 17013	Carlisle, PA 17013		
1						
1						
1	MD		Princess Anne, MD 21853	Princess Anne, MD 21853		
1						
1						
1	FL		The Claw:  USF Golf Course	The Claw: USF Golf Course Tampa, FL 33607		
1						
1						
1	TX		Lake Wichita Park	Lake Wichita Park Wichita Falls, TX 76308		
1	SC		Winthrop	Winthrop Rock Hill, SC 29730		
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1						
1	AR	City Not Supplied	St. Catherines University	St. Catherines University City Not Supplied, AR		
1						
1	NV		Craig Ranch Regional Park	Craig Ranch Regional Park North Last Vegas, NV 89154		
1	CA		UC Santa Cruz East Field	UC Santa Cruz East Field Santa Cruz, CA 95064		
1						
1						
1	TX		Tejas Golf Course	Tejas Golf Course Stephenville, TX 76402		
1	TX		UT-Tyler	UT-Tyler Tyler, TX 75707		
1						
1						
1						
1						
1	VA		Buford Merideth Cross Country Course	Buford Merideth Cross Country Course XC Course Rd. Blacksburg, VA 24061		
1						
1	ME		Saxl Park	Saxl Park Bangor, ME 04011		
1	KY		Berea College Alumni Fields	Berea College Alumni Fields Berea, KY, KY 40404		
1	OH		Rio Grande CC Course	Rio Grande CC Course Rio Grande, OH 45674		
1						
1	OH	Richmond	IU East	IU East Richmond, OH		
1						
1	FL	Sarasota	The Classical Academy	The Classical Academy Sarasota, FL		
1	NH		Bow High School	Bow High School Bow, NH 03304		
1						
1	VT		Hard'Ack	Hard'Ack Saint Albans, VT 05478		
1	SD		The Bluffs Golf Course	The Bluffs Golf Course Vermillion, SD 57069		
1						
1	TN	Knoxville	Cheorkee Farms	Cheorkee Farms Knoxville, TN		
1	CA		West Valley Championship Course	West Valley Championship Course Cottonwood, CA 96003		
1			Idaho State Cross Country Course	Idaho State Cross Country Course Pocatello, Id 83201		
1	NH		BETHLEHAM	BETHLEHAM 1901 Main St Bethlehem, NH 03547		
1			Nehoiden Golf Course	Nehoiden Golf Course Keohane Sports Center Wellesley, MA 2481		
1	IN		Harrison HS	Harrison HS West Lafayette, IN 47906		
1	IN	Bremen	Bremen	Bremen Bremen, IN		
1	CA		Cal St. Fullerton	Cal St. Fullerton California State University, Fullerton, CA 92834		
1						
1	CA		Humboldt	Humboldt Arcata, CA 95521		
1	FL		Leto HS	Leto HS Tampa, FL 33614		
1	IN		Van Hoozen Park / Homestead HS	Van Hoozen Park / Homestead HS 4310 Homestead Rd Ft. Wayne, IN 46814		
1	FL		B. T. Washington	B. T. Washington Pensacola, FL 32504		
1	FL		Pennekamp	Pennekamp Kay Largo, FL 33070		
1	DE		Delaware Outreach & Research Center	Delaware Outreach & Research Center 884 Smyrna Leipsic Road Smyra, DE 17788		
1						
1						
1	IL		EIU	EIU Charleston, IL 61920		
1	MI		Gainney Athletic Complex	Gainney Athletic Complex 1661 E Paris Ave GRAND RAPIDS, MI 49546		
1						
1						
1	PA		Cooper's Lake Campground	Cooper's Lake Campground Slippery Rock, PA 16057		
1	NY		Finger Lakes Community College	Finger Lakes Community College Canandaigue, NY 14424		
1	OH		Clark County Fairgrounds	Clark County Fairgrounds 10643 Vermilion Road Springfield, OH 45501		
1						
1	NV		Shadow Mountain Park	Shadow Mountain Park Sparkf, NV 89434		
1						
1	PA		CALIFORNIA UNIVERSITY	CALIFORNIA UNIVERSITY California, PA 15419		
1			Edmond Santa Fe HS	Edmond Santa Fe HS Edmond,OK, Oklahoma 73170		
1						
1						
1						
1	FL		Lawnwood Stadium	Lawnwood Stadium Ft. Pierce, FL 34950		
1						
1	NC		Cleveland CC	Cleveland CC 137 S. Post Rd. Shelby, NC 28152		
1						
1						
1	KS		Allen County Country Club	Allen County Country Club Iola, KS 66062		
1						
1						
1	MI		Pine View Golf Club	Pine View Golf Club Three Rivers, MI 49009		
1	NC		Ivey M. Redmon Sports Complex	Ivey M. Redmon Sports Complex Kernersville, NC 27262		
1	FL	Dunedin	Highlander Park	Highlander Park Dunedin, FL		
1	FL		Dixie Hollins	Dixie Hollins St Petersburg, FL 32312		
1	ND		North Dakota State	North Dakota State Fargo, ND 58104		
1						
1						
1						
1	OH		Morehead State University	Morehead State University Morehead, OH 40351		
1						
1	CA		Woodley Lakes Golf Course	Woodley Lakes Golf Course Van Nuys, CA 90045		
1	CA		San Mateo	San Mateo San Mateo, CA 94402		
1						
