# source	meet_id	div_id	n	c_pct	iqr_pct	z	already
tfrrs	12120	None	28	-10.53	6.77	-5.7	
tfrrs	72211	None	46	-10.13	7.76	-5.7	
tfrrs	82394	None	56	-8.89	4.61	-5.7	
tfrrs	41084	None	50	-9.58	6.63	-5.7	
tfrrs	48484	None	21	-9.37	3.90	-5.7	
tfrrs	47373	None	178	-8.45	4.02	-5.7	
tfrrs	44690	None	21	-9.36	3.89	-5.7	
tfrrs	78589	None	39	-9.77	6.33	-5.7	
tfrrs	7777	None	25	-9.39	4.30	-5.7	
tfrrs	79361	None	26	-9.17	3.90	-5.7	
tfrrs	33543	None	42	-9.50	5.88	-5.7	
tfrrs	30941	None	75	-8.66	4.15	-5.7	
tfrrs	58994	None	92	-8.47	3.10	-5.7	
anet	469901	1	86	+9.87	6.25	+5.7	
tfrrs	71795	None	85	-8.83	5.42	-5.7	
tfrrs	38423	None	72	-9.08	6.14	-5.7	
tfrrs	63357	None	21	-9.07	3.31	-5.7	
tfrrs	24594	None	56	-8.94	4.88	-5.7	
tfrrs	71427	None	272	-8.54	6.53	-5.7	
anet	545364	7	28	-8.55	2.11	-5.7	
tfrrs	9299	None	57	-10.06	8.50	-5.7	
anet	81637	1	73	+9.88	5.81	+5.7	
tfrrs	55729	None	20	-10.98	6.40	-5.7	
tfrrs	56696	None	64	-9.18	6.21	-5.7	
tfrrs	20250	None	34	-8.71	3.05	-5.7	
tfrrs	35568	None	46	-9.01	4.70	-5.7	
tfrrs	16111	None	38	-8.73	3.31	-5.7	
tfrrs	52555	None	19	-11.52	6.96	-5.7	
tfrrs	58953	None	29	-8.84	3.26	-5.7	
tfrrs	31885	None	19	-11.04	6.33	-5.7	
tfrrs	10269	None	35	-8.88	3.72	-5.7	
tfrrs	56032	None	57	-8.89	4.80	-5.7	
tfrrs	64012	None	48	-9.61	6.68	-5.7	
anet	445690	1	21	+10.98	4.92	+5.7	
anet	352415	3	39	-9.33	5.31	-5.7	
tfrrs	95774	None	214	-8.44	4.69	-5.7	
tfrrs	23091	None	67	-8.64	3.99	-5.7	
tfrrs	80848	None	59	-8.67	3.89	-5.7	
tfrrs	44439	None	21	-9.63	4.46	-5.7	
anet	154578	1	17	-9.88	4.41	-5.7	
tfrrs	54021	None	52	-8.99	5.00	-5.7	
tfrrs	24040	None	39	-11.09	9.21	-5.7	
tfrrs	47542	None	42	-9.22	5.20	-5.7	
anet	277018	4	13	+11.28	4.20	+5.7	
tfrrs	67438	None	66	-8.65	4.06	-5.7	
anet	284804	3	14	-9.27	3.11	-5.7	
