# source	meet_id	div_id	n	c_pct	iqr_pct	z	already
anet	197881	1	16	-10.73	6.08	-5.4	
tfrrs	61015	None	84	-8.33	5.03	-5.4	
tfrrs	60632	None	46	-8.21	3.16	-5.4	
anet	75726	1	86	+9.71	7.72	+5.4	
anet	247315	1	16	-11.29	6.77	-5.4	
tfrrs	83988	None	87	-8.35	5.29	-5.4	
tfrrs	84145	None	51	-8.63	5.16	-5.4	
tfrrs	91896	None	101	-8.21	4.71	-5.4	
tfrrs	33894	None	21	-8.75	3.61	-5.4	
tfrrs	54565	None	66	-8.22	3.92	-5.4	
anet	463392	16	32	+11.25	7.49	+5.4	
tfrrs	82648	None	40	-8.47	4.08	-5.4	
tfrrs	37545	None	54	-8.32	4.04	-5.4	
tfrrs	14527	None	78	-9.25	8.88	-5.4	
tfrrs	71530	None	201	-8.28	7.44	-5.4	
anet	84467	1	152	+10.07	11.93	+5.4	
tfrrs	21087	None	27	-9.20	5.15	-5.4	
anet	125361	1	51	+9.09	4.03	+5.4	
tfrrs	20335	None	78	-8.22	4.31	-5.4	
tfrrs	29053	None	60	-8.17	3.48	-5.4	
tfrrs	31762	None	20	-8.81	3.67	-5.4	
