meet	div	n	med_gap	iqr	clean_frac	shape
12971	1	23	-37.8	2.0	0.00	TRANSLATION
12973	1	23	-38.3	2.0	0.00	TRANSLATION
12975	1	21	-38.2	1.9	0.00	TRANSLATION
12976	1	19	-38.3	1.8	0.00	TRANSLATION
12977	1	19	-38.2	2.1	0.00	TRANSLATION
12978	1	23	-38.2	1.2	0.00	TRANSLATION
12983	1	20	-37.4	1.6	0.00	TRANSLATION
12992	1	12	-38.4	1.8	0.00	TRANSLATION
12994	1	20	-38.5	2.5	0.00	TRANSLATION
12996	1	24	-38.1	1.6	0.00	TRANSLATION
13001	1	18	-38.3	2.6	0.00	TRANSLATION
13004	1	16	-38.3	2.7	0.00	TRANSLATION
13005	1	20	-38.2	1.6	0.00	TRANSLATION
13185	1	34	-39.3	3.3	0.00	TRANSLATION
13259	1	26	-39.9	4.6	0.00	TRANSLATION
13330	1	28	-39.2	3.6	0.00	TRANSLATION
13427	1	62	-37.6	2.1	0.00	TRANSLATION
13550	1	55	-41.7	13.1	0.09	MIXTURE
13764	1	19	-36.6	4.1	0.00	TRANSLATION
13788	1	18	-40.1	3.4	0.00	TRANSLATION
13901	1	22	-37.4	1.5	0.00	TRANSLATION
14017	1	89	-37.4	2.5	0.00	TRANSLATION
14189	1	27	-38.0	1.3	0.00	TRANSLATION
14255	1	24	-40.6	2.4	0.00	TRANSLATION
14531	1	22	-37.6	1.6	0.00	TRANSLATION
14555	1	20	-37.6	1.4	0.00	TRANSLATION
14574	1	18	-37.9	2.5	0.00	TRANSLATION
14790	1	30	-38.2	2.8	0.00	TRANSLATION
14803	1	107	-49.5	1.9	0.00	TRANSLATION
14924	1	19	-38.3	2.9	0.00	TRANSLATION
14975	0	45	+12.8	26.2	0.56	MIXTURE
15060	1	15	-41.1	5.8	0.00	TRANSLATION
15239	1	23	-40.2	2.1	0.00	TRANSLATION
15345	1	16	-39.0	2.6	0.00	TRANSLATION
15466	1	32	-40.1	3.3	0.00	TRANSLATION
15845	1	33	+63.4	9.8	0.00	TRANSLATION
15848	1	16	-38.9	4.3	0.00	TRANSLATION
15927	1	35	-39.6	2.3	0.00	TRANSLATION
16080	1	31	-38.3	3.1	0.00	TRANSLATION
16153	1	45	-38.5	1.9	0.00	TRANSLATION
16292	1	33	+72.8	30.8	0.03	MIXTURE
16594	1	24	-41.5	14.9	0.00	MIXTURE
17303	1	26	-37.2	5.1	0.00	TRANSLATION
17453	0	16	-40.2	2.5	0.12	TRANSLATION
17556	1	18	-38.5	3.8	0.06	TRANSLATION
17643	1	12	-38.6	2.7	0.00	TRANSLATION
17828	1	74	-37.3	5.0	0.00	TRANSLATION
17837	1	15	-41.1	4.2	0.00	TRANSLATION
17923	1	82	-38.1	2.8	0.00	TRANSLATION
18020	1	15	-40.1	4.2	0.00	TRANSLATION
18218	1	20	-38.4	5.3	0.00	TRANSLATION
18244	1	53	+80.4	21.2	0.00	MIXTURE
18290	1	35	-41.4	4.6	0.00	TRANSLATION
18396	1	30	-39.2	3.2	0.00	TRANSLATION
18482	1	26	-39.4	2.1	0.00	TRANSLATION
18672	1	94	-37.3	2.5	0.00	TRANSLATION
18730	1	108	-38.7	2.6	0.01	TRANSLATION
18750	1	20	-41.1	4.0	0.00	TRANSLATION
18751	1	78	-39.4	2.7	0.00	TRANSLATION
18813	1	32	-38.4	4.3	0.00	TRANSLATION
18909	1	18	-38.9	2.2	0.00	TRANSLATION
18962	3	27	-38.8	3.6	0.00	TRANSLATION
19090	1	26	-39.7	2.8	0.00	TRANSLATION
19107	1	64	-39.2	3.5	0.00	TRANSLATION
19162	1	15	-41.1	2.3	0.00	TRANSLATION
19213	1	72	-36.6	2.3	0.00	TRANSLATION
19256	1	29	-37.9	2.6	0.00	TRANSLATION
19307	1	75	-38.4	3.7	0.00	TRANSLATION
19323	1	61	-39.7	3.9	0.00	TRANSLATION
19449	1	42	-38.2	3.9	0.02	TRANSLATION
19454	1	18	+80.7	18.5	0.00	MIXTURE
19457	1	23	-42.6	5.1	0.00	TRANSLATION
19484	3	38	+63.5	36.0	0.16	MIXTURE
19553	3	42	-37.3	3.0	0.00	TRANSLATION
19602	1	15	-38.5	5.3	0.00	TRANSLATION
19982	1	39	-40.0	3.4	0.00	TRANSLATION
20055	1	36	-38.0	2.2	0.00	TRANSLATION
20067	1	13	-39.9	2.6	0.00	TRANSLATION
20130	1	13	-39.9	5.1	0.00	TRANSLATION
20437	1	44	-37.6	3.5	0.00	TRANSLATION
20471	1	38	-37.2	3.1	0.00	TRANSLATION
20538	1	19	-44.6	1.9	0.00	TRANSLATION
20544	1	23	-39.4	2.3	0.00	TRANSLATION
20646	1	29	-37.9	3.2	0.00	TRANSLATION
20747	1	36	-39.4	5.4	0.00	TRANSLATION
20750	1	15	-41.6	4.0	0.00	TRANSLATION
20788	1	18	-36.3	6.3	0.06	TRANSLATION
20793	1	55	-37.0	3.3	0.02	TRANSLATION
20844	1	21	-39.2	3.5	0.00	TRANSLATION
20925	1	145	-37.9	3.2	0.01	TRANSLATION
21016	1	125	-39.3	2.0	0.01	TRANSLATION
21029	1	24	-40.4	3.6	0.00	TRANSLATION
21343	3	46	+67.8	66.9	0.28	MIXTURE
21490	1	59	-39.3	4.6	0.00	TRANSLATION
21586	3	18	-39.1	2.9	0.00	TRANSLATION
21611	1	14	+52.9	34.5	0.14	MIXTURE
21732	1	36	-40.5	3.9	0.00	TRANSLATION
21901	96814	104	-39.4	2.1	0.00	TRANSLATION
21909	0	26	-44.3	2.4	0.00	TRANSLATION
22043	1	23	+25.4	77.3	0.48	MIXTURE
22062	1	16	+61.1	17.2	0.00	MIXTURE
22331	1	12	-40.3	1.5	0.00	TRANSLATION
22451	1	28	-39.8	4.3	0.00	TRANSLATION
22563	1	80	-39.0	2.3	0.01	TRANSLATION
22655	1	44	-38.9	3.5	0.02	TRANSLATION
22849	1	79	-38.0	3.0	0.00	TRANSLATION
22861	1	99	-38.3	3.7	0.00	TRANSLATION
22896	1	98	-38.4	2.8	0.00	TRANSLATION
22936	1	247	-49.3	1.9	0.00	TRANSLATION
23041	1	20	-39.8	4.1	0.00	TRANSLATION
23089	1	78	-39.6	3.1	0.00	TRANSLATION
23187	1	16	+66.6	15.3	0.00	MIXTURE
23342	1	65	-38.0	5.4	0.00	TRANSLATION
23469	1	19	-37.4	5.6	0.00	TRANSLATION
23519	3	35	+54.4	70.9	0.31	MIXTURE
23638	1	92	-39.1	3.6	0.00	TRANSLATION
23643	1	45	-38.6	3.8	0.02	TRANSLATION
23707	1	80	-37.4	5.4	0.00	TRANSLATION
23719	1	41	-38.5	3.9	0.00	TRANSLATION
23857	1	97	-38.6	3.3	0.00	TRANSLATION
23938	1	13	-39.4	1.6	0.00	TRANSLATION
23974	1	13	-37.0	5.4	0.08	TRANSLATION
24029	3	35	-39.0	2.6	0.00	TRANSLATION
