# tfrrs_meet	top_score	runner_score	tfrrs_location_raw   (ambiguous -> geocode pile)
18595	1.00	1.00	Bradley Palmer State Park Essex County, MA 01915
20541	1.00	1.00	Davis & Elkins Elkins, WV
20555	1.00	1.00	Forest Akers East Golf Course East Lansing, MI, MI
20565	1.00	1.00	Brookdale CC Lincroft, NJ
15617	1.00	1.00	Winthrop Farm Cross Country Course Rock Hill, SC 29733
15998	1.00	1.00	Lower Woodland Park Seattle, WA 98103
14608	1.00	1.00	Lake Breeze Golf Course Winneconne, WI 12345
16084	1.00	1.00	Rice 6100 South Main Houston, TX 77251
15830	1.00	1.00	Pecan Grove Park Sherman, TX
15940	1.00	1.00	Gordon Cooper Technology Center 1 John C Burton Dr. Shawnee, OK 74804
17451	1.00	1.00	Generations Park Aiken , SC
15693	1.00	1.00	Roanoke 2501 Green Hill Park Road Salem, VA 24153
21209	1.00	1.00	Greenfield Prk Milwaukee, WI 53234
15850	1.00	1.00	Mira Loma Park Reno, NV 89502
15783	1.00	1.00	Purdue Northwest Westville 1401 US 421 Westville, IN 46391
15879	1.00	1.00	Skutt Catholic Athletic Complex Omaha, NE 68178
17331	1.00	1.00	Sunset Hill Farm County Park 775 Meridian Rd Valparaiso, IN 46385
16431	1.00	1.00	Auburn High School Auburn, NE 68305
16354	1.00	1.00	Franklin Franklin, IN 46131
16392	1.00	1.00	Wingate Wingate, NC
16667	1.00	1.00	Northview Church Carmel , IN 46033
16171	1.00	1.00	Delaware Valley University Doylestown, PA
18641	1.00	1.00	Sperling XC Course Deland, FL 32724
18551	1.00	1.00	University of St. Joseph West Hartford, CT 19131
17864	1.00	1.00	Sunken Meadow State Park Kings Park, NY 11754
16023	1.00	1.00	Colby College Waterville, ME 04901
16347	1.00	1.00	Brownsburg Brownsburg, IN 46112
17876	1.00	1.00	Huntingdon Cross Country Course 4080 Moore Road Grady, AL 36036
21408	1.00	1.00	Reflection Ridge Lookout Mountain, TN 30750
21288	1.00	1.00	Lake Buena Vista HS Orlando, FL 32836
21312	1.00	1.00	Lely Naples, FL 34113
21293	1.00	1.00	Harmony High School St. Cloud, FL 34769
20780	1.00	1.00	Fenner Fields, Cazenovia, NY Cazenovia, NY 13035
17453	1.00	1.00	Smith River Sports Complex Axton, VA
18751	1.00	1.00	Michelbook Country Club McMinnville, OR 97128
19672	1.00	1.00	Crystal Springs Course Millbrae, CA
17811	1.00	1.00	White Tank Regional Mountain Park Surprise, AZ
21580	1.00	1.00	Randolph Golf Course Tucson, AZ 85711
19811	1.00	1.00	Taylor Univ Farm Upland, IN 46953
21698	1.00	1.00	Markham Park 16001 West SR-84 Sunrise, FL
17574	1.00	1.00	Blue River Cross Country Course Shelbyville, IN 00000
21651	1.00	1.00	Lake McKeithan Brooksville, FL 34601
22294	1.00	1.00	William F. Sheffield Regional Park Jacksonville, FL 32209
21321	1.00	1.00	Gateway Fairgrounds Lake City, FL 32025
23375	1.00	1.00	Bartram Trail St. Johns, FL 32259
23369	1.00	1.00	Crystal River High School Crystal River, FL 34429
25559	1.00	1.00	Lake Placid Lake Placid, FL 33852
24057	1.00	1.00	Cal St. Fullerton Carbon Canyon Regional, CA 92834
25041	1.00	1.00	Owen's Park Louisburg, NC 27551
25143	1.00	1.00	Indian Hills Community College Ottumwa, IA 50023
22870	1.00	1.00	Trinity Christian Academy Lake Worth, FL 33463
23663	1.00	1.00	King's Academy West Palm Beach, FL 33409
23664	1.00	1.00	King's Academy West Palm Beach, FL 33409
25513	1.00	1.00	Centennial 1485 SW Cashmere Blvd Port St. Lucie, FL 34986
23931	1.00	1.00	The Farm - Taylor XC Course Upland, IN 46953
26557	1.00	1.00	Atlantic Coast Jacksonville, FL 32119
27267	1.00	1.00	Phil Moore Park Midway, KY 40347
27246	1.00	1.00	Forest Akers Golf Course East Lansing, MI 00000
25556	1.00	1.00	Lake Placid Lake Placid, FL 33852
24101	1.00	1.00	Palmer Trinity Miami, FL 33157
24086	1.00	1.00	McKethan Lake Brooksville, FL
27198	1.00	1.00	Shorewood Cross Country Course | Green Bay WI 2532 Shorewood Drive Green Bay, WI 00000
27171	1.00	1.00	TRM Brewton, AL 36527
27181	1.00	1.00	Graham Creek Nature Preserve 1 Pride Dr. Gulf Shores, AL 36527
26433	1.00	1.00	Fountain Central HS Veedersburg, IN
26497	1.00	1.00	Brenham High School 525 A H Ehrig Dr Brenham, TX 77833
22729	1.00	1.00	Treasure Coast Port St. Lucie, FL 34953
25312	1.00	1.00	Satellite Satellite Beach, FL 32937
26793	1.00	1.00	Lyon College Batesville, AR 72503
26788	1.00	1.00	The Derryfield School 2108 River Rd. Manchester, NH 03104
26861	1.00	1.00	Maine Maritime Academy Castine, ME
25488	1.00	1.00	West Orange HS 1625 S. Beulah Rd. Winter Garden, FL 34787
26771	1.00	1.00	Lehman Cross Country Course Westerville, OH 43081
16062	1.00	1.00	University of Maine College Avenue Orono, ME 04469
10110	1.00	1.00	HOT Soccer Fields 6101 Airport Rd Waco, TX 76710
9272	1.00	1.00	McDade Park Scranton, PA 18504
9275	1.00	1.00	Texas Austin, TX 78713
8833	1.00	1.00	Elvin R. King Cross Country Course 251 N. Main Street Cedarville, OH 45314
18419	1.00	1.00	University of Montana Golf Course Missoula, MT 59812
8825	1.00	1.00	BYU-Hawaii Laie, HI 96762
8416	1.00	1.00	MACGREGOR PARK 5225 CALHOUN HOUSTON, TX 77021
8697	1.00	1.00	Ozarks (Ark.) 1000 Market St Clarksville, AR 72830
8431	1.00	1.00	UT Tyler Soccer Fields Tyler, TX
11193	1.00	1.00	Prairie Ridge Park Hutchinson, KS 67501
9285	1.00	1.00	Lake Breezee Golf Course Winneconne, WI 12345
13929	1.00	1.00	Big Spring High School Newville, PA 17013
13912	1.00	1.00	Bill Roberts Golf Course Helena, MT 59601
13764	1.00	1.00	River Creek Golf Course 1605 FM 1177 Wichita Falls, TX 76305
18412	1.00	1.00	Battery Park - UNE Biddeford, ME 04005
18418	1.00	1.00	Highland 9-Hole Golf Course St. Paul, MN 55104
25461	1.00	1.00	Sperling Sports Complex Deland, FL 32724
26191	1.00	1.00	Plattsburgh Plattsburgh, NY 12901
23840	1.00	1.00	The Farm Newberry, SC
14938	1.00	1.00	Greene County Airport Waynesburg, PA
19584	1.00	1.00	Central Arizona Coolidge, AZ 85228
18310	1.00	1.00	Blue River CC Course 725 Lee Blvd Shelbyville, IN 46176
18020	1.00	1.00	Illinois Champaign, IL 61820
23820	1.00	1.00	Sunset Hill Farm 775 Meridian Rd Valparaiso, IN 46383
9201	1.00	1.00	Big Spring High School Newville, PA 17013
9035	1.00	1.00	Noelridge Park Cedar Rapids, IA 50428
9304	1.00	1.00	Luther College Decorah, IA 50428
16648	1.00	1.00	Western Texas Cross Country Course Snyder, TX 79549
9307	1.00	1.00	Huntington University Huntington, IN 46750
9782	1.00	1.00	Bicentennial Park 5351 Park West Lane Northampton, PA 18067
7850	1.00	1.00	Arroyo Verde Park Ventura, CA 93003
7848	1.00	1.00	Oxnard Oxnard, CA 93033
7660	1.00	1.00	Pole Green Park -- Richmond, VA 8996 Pole Green Park Lane Mechanicsville, VA 23116
7764	1.00	1.00	Lake Wichita Park Wichita Falls, TX 76308
7789	1.00	1.00	Winthrop Rock Hill, SC 29730
13097	1.00	1.00	Craig Ranch Regional Park North Las Vegas, NV 89154
13091	1.00	1.00	Craig Ranch Regional Park North Last Vegas, NV 89154
13094	1.00	1.00	Craig Ranch Regional Park North Las Vegas, NV 89154
11555	1.00	1.00	Earlham Richmond, IN 47374
17808	1.00	1.00	McAlpine Creek Park Charlotte, NC
9174	1.00	1.00	Saxl Park Bangor, ME 04011
8058	1.00	1.00	Rio Grande CC Course Rio Grande, OH 45674
26821	1.00	1.00	West Valley Championship Course Cottonwood, CA 96003
26061	1.00	1.00	Cal St. Fullerton California State University, Fullerton, CA 92834
23324	1.00	1.00	Lake Buena Vista HS Orlando, FL 32836
20509	1.00	1.00	Delaware Outreach & Research Center 884 Smyrna Leipsic Road Smyra, DE 17788
27089	1.00	1.00	Maine Maritime Academy West River Road Castine, ME 04901
19896	1.00	1.00	Gainney Athletic Complex 1661 E Paris Ave GRAND RAPIDS, MI 49546
9221	1.00	1.00	Cooper's Lake Campground Slippery Rock, PA 16057
19232	1.00	1.00	Clark County Fairgrounds 10643 Vermilion Road Springfield, OH 45501
19397	1.00	1.00	Carlin Park Jupiter, FL 33458
19570	1.00	1.00	Cleveland CC 137 S. Post Rd. Shelby, NC 28152
10277	1.00	1.00	Pine View Golf Club Three Rivers, MI 49009
10269	1.00	1.00	Messiah College Mechanicsburg, PA 17055
21383	1.00	1.00	Ridgeview Orange Park, FL 32065
9855	1.00	1.00	Walsh University North Canton, OH 44720
10023	1.00	1.00	North Dakota State Fargo, ND 58104
20004	1.00	1.00	Markham Park 16001 West SR-84 Sunrise, FL
16660	1.00	1.00	Woodley Lakes Golf Course Van Nuys, CA 90045
22091	1.00	1.00	Ridgeview Orange Park, FL 32065
10426	1.00	1.00	Central Arkansas 20 Kinley Dr Conway, AR
10440	1.00	1.00	Asheville Christian Academy Swannanoa, NC 28645
10427	1.00	1.00	Central Arkansas 20 Kinley Dr Conway, AR
10398	1.00	1.00	Bill Roberts Helena, MT 59501
11663	1.00	1.00	Iowa Western Council Bluffs, IA 51503
10216	1.00	1.00	Crystal Springs Course Belmont, CA 94402
21688	1.00	1.00	Mounds State Park Anderson, IN
20745	1.00	1.00	Fernhill Park Portland, OR
10842	1.00	1.00	U Montana Missoula, MT 59801
20055	1.00	1.00	Dartmouth XC Course Hanover, NH 03755
12500	1.00	1.00	Montana Missoula, MT 59812
