# kind	source	meet_id	div_id	n	c_pct	iqr_pct	d_eff	seasons_flagged	seasons_total	already	proposed	decision	target
# decision <- KEEP/OVERRIDE/DROP/GENDER ; target <- metres or M/F
# c_pct = whole-field spike vs each runner's OWN bracket
DIV	tfrrs	15634	None	19	-15.0	6.4	1428	na	na	-	INVESTIGATE		
DIV	anet	278004	3	32	-15.0	3.2	1832	na	na	-	INVESTIGATE		
DIV	tfrrs	12877	None	22	-14.9	4.7	1429	na	na	-	INVESTIGATE		
DIV	anet	432801	1	25	-14.8	20.6	1427	na	na	-	INVESTIGATE		
DIV	anet	309068	1	25	-14.8	6.9	1430	na	na	-	INVESTIGATE		
DIV	anet	612284	1	14	-14.8	4.5	1827	na	na	-	INVESTIGATE		
DIV	anet	231053	1	16	-14.8	6.4	632	na	na	-	INVESTIGATE		
DIV	tfrrs	38108	None	47	-14.6	4.9	1447	na	na	-	INVESTIGATE		
DIV	anet	454206	1	40	-14.6	5.7	1831	na	na	-	INVESTIGATE		
DIV	anet	454283	2	38	-14.6	5.6	1831	na	na	-	INVESTIGATE		
DIV	anet	476970	2	23	-14.6	26.7	1427	na	na	-	INVESTIGATE		
DIV	anet	310513	1	40	-14.6	6.6	1834	na	na	-	INVESTIGATE		
DIV	anet	345251	1	24	+17.0	10.0	1432	na	na	-	INVESTIGATE		
DIV	anet	85788	3	26	-14.5	11.2	1825	na	na	-	INVESTIGATE		
DIV	anet	235680	2	12	-14.5	11.3	1338	na	na	-	INVESTIGATE		
DIV	anet	634021	2	30	-14.4	6.7	1830	na	na	-	INVESTIGATE		
DIV	anet	431799	1	14	-14.4	17.0	1427	na	na	-	INVESTIGATE		
DIV	tfrrs	92180	None	16	-14.4	12.3	1041	na	na	-	INVESTIGATE		
DIV	anet	423756	1	14	-14.4	5.2	1433	na	na	-	INVESTIGATE		
DIV	anet	284792	1	82	-14.4	4.7	2876	na	na	-	INVESTIGATE		
DIV	tfrrs	47770	None	12	-14.4	9.2	1455	na	na	-	INVESTIGATE		
DIV	tfrrs	29752	None	25	-14.4	11.4	1442	na	na	-	INVESTIGATE		
DIV	tfrrs	49139	None	36	-14.3	7.4	655	na	na	-	INVESTIGATE		
DIV	tfrrs	82131	None	12	-14.3	18.9	1830	na	na	-	INVESTIGATE		
DIV	anet	554041	1	43	-14.3	4.6	1829	na	na	-	INVESTIGATE		
DIV	anet	197709	3	12	-14.2	11.6	650	na	na	-	INVESTIGATE		
DIV	anet	129681	2	42	+16.6	4.7	1415	na	na	-	INVESTIGATE		
DIV	tfrrs	1050	None	28	-14.2	14.4	1407	na	na	-	INVESTIGATE		
DIV	tfrrs	18896	None	15	-14.2	7.2	1451	na	na	-	INVESTIGATE		
DIV	tfrrs	49770	None	32	-14.1	6.0	1431	na	na	-	INVESTIGATE		
DIV	anet	418836	1	16	-14.1	13.6	1427	na	na	-	INVESTIGATE		
DIV	anet	275749	3	16	-14.1	6.6	1841	na	na	-	INVESTIGATE		
DIV	tfrrs	9023	None	21	-14.1	10.5	1432	na	na	-	INVESTIGATE		
DIV	anet	454202	1	63	-14.1	6.0	1879	na	na	-	INVESTIGATE		
DIV	tfrrs	16642	None	34	-14.1	8.5	1428	na	na	-	INVESTIGATE		
DIV	tfrrs	5767	None	28	+16.4	14.0	1417	na	na	-	INVESTIGATE		
DIV	anet	33322	1	22	-14.1	11.5	1416	na	na	-	INVESTIGATE		
DIV	anet	536420	4	12	-14.0	48.9	1424	na	na	-	INVESTIGATE		
DIV	anet	34894	1	13	-14.0	7.5	1406	na	na	-	INVESTIGATE		
DIV	anet	313708	1	59	+16.2	7.5	646	na	na	-	INVESTIGATE		
DIV	tfrrs	20574	None	46	-13.9	3.6	1446	na	na	-	INVESTIGATE		
DIV	anet	627659	4	28	-13.9	7.5	1822	na	na	-	INVESTIGATE		
DIV	anet	567997	5	24	-13.9	8.0	1808	na	na	-	INVESTIGATE		
DIV	tfrrs	11633	None	62	-13.9	6.2	1429	na	na	-	INVESTIGATE		
DIV	anet	467172	2	18	-13.8	6.6	1830	na	na	-	INVESTIGATE		
DIV	tfrrs	39885	None	26	-13.7	4.9	1450	na	na	-	INVESTIGATE		
DIV	anet	149289	1	19	+15.9	4.5	1416	na	na	-	INVESTIGATE		
DIV	anet	312838	1	17	-13.7	31.3	1425	na	na	-	INVESTIGATE		
DIV	anet	427031	1	13	-13.7	14.5	1446	na	na	-	INVESTIGATE		
DIV	tfrrs	35998	None	13	+15.8	7.7	652	na	na	-	INVESTIGATE		
DIV	anet	594556	1	12	-13.6	18.9	3070	na	na	-	INVESTIGATE		
DIV	anet	368847	1	29	-13.6	7.8	638	na	na	-	INVESTIGATE		
DIV	anet	112019	2	17	-13.6	8.2	1814	na	na	-	INVESTIGATE		
DIV	tfrrs	18084	None	32	-13.6	6.4	1434	na	na	-	INVESTIGATE		
DIV	tfrrs	35340	None	52	-13.6	5.2	1431	na	na	-	INVESTIGATE		
DIV	tfrrs	3507	None	49	-13.6	7.7	1436	na	na	-	INVESTIGATE		
DIV	anet	421655	2	14	+15.7	6.6	1446	na	na	-	INVESTIGATE		
DIV	anet	618924	3	18	-13.5	10.2	3048	na	na	-	INVESTIGATE		
DIV	anet	234855	1	45	-13.5	7.7	1843	na	na	-	INVESTIGATE		
DIV	anet	322659	1	15	-13.5	7.1	1837	na	na	-	INVESTIGATE		
DIV	anet	374375	1	12	-13.5	5.8	638	na	na	-	INVESTIGATE		
DIV	tfrrs	28955	None	49	-13.4	7.5	1442	na	na	-	INVESTIGATE		
DIV	anet	378977	4	25	-13.4	5.5	1830	na	na	-	INVESTIGATE		
DIV	anet	247807	1	21	-13.4	3.1	1834	na	na	-	INVESTIGATE		
DIV	anet	309198	1	12	-13.4	11.0	1444	na	na	-	INVESTIGATE		
DIV	anet	142040	2	17	+15.4	3.0	3070	na	na	-	INVESTIGATE		
DIV	tfrrs	3426	None	14	-13.4	18.1	1426	na	na	-	INVESTIGATE		
DIV	tfrrs	1133	None	19	-13.3	9.6	1404	na	na	-	INVESTIGATE		
DIV	tfrrs	10438	None	24	-13.3	7.2	1429	na	na	-	INVESTIGATE		
DIV	anet	535084	1	39	-13.3	11.6	1408	na	na	-	INVESTIGATE		
DIV	anet	300614	1	26	-13.3	8.8	1425	na	na	-	INVESTIGATE		
DIV	tfrrs	35891	None	16	+15.4	14.6	1417	na	na	-	INVESTIGATE		
DIV	anet	269735	1	16	-13.3	11.4	1029	na	na	-	INVESTIGATE		
