# kind	source	meet_id	div_id	n	c_pct	iqr_pct	d_eff	seasons_flagged	seasons_total	already	proposed	decision	target
# decision <- KEEP/OVERRIDE/DROP/GENDER ; target <- metres or M/F
# c_pct = whole-field spike vs each runner's OWN bracket
DIV	tfrrs	8691	0	51	-41.9	4.9	5048	na	na	-	INVESTIGATE		
DIV	anet	122945	494162	50	-41.8	8.9	5054	1	17	-	INVESTIGATE		
DIV	anet	142146	595169	34	-41.7	5.2	1422	11	14	-	PERSISTENT		
DIV	anet	244377	973047	36	-41.7	7.5	1843	3	7	-	INVESTIGATE		
DIV	tfrrs	7057	1	19	-41.6	2.9	3992	na	na	-	INVESTIGATE		
DIV	anet	232597	928567	201	-41.4	6.4	5039	2	9	-	INVESTIGATE		
DIV	tfrrs	7660	0	45	-41.4	3.1	1826	na	na	-	INVESTIGATE		
DIV	tfrrs	8044	0	44	-41.4	3.3	1826	na	na	-	INVESTIGATE		
DIV	tfrrs	10064	0	33	-41.4	5.9	3990	na	na	OVERRIDE	REGRESSION		
DIV	tfrrs	17453	0	12	-41.3	3.3	5000	na	na	OVERRIDE	REGRESSION		
DIV	tfrrs	10156	0	80	-41.2	5.2	1830	na	na	-	INVESTIGATE		
DIV	tfrrs	10938	0	25	-41.2	6.1	3114	na	na	-	INVESTIGATE		
DIV	tfrrs	8494	0	23	-41.0	3.9	3985	na	na	-	INVESTIGATE		
DIV	tfrrs	8775	1	42	-41.0	7.9	3985	na	na	-	INVESTIGATE		
DIV	anet	126487	585534	15	-40.9	5.6	1850	2	7	-	INVESTIGATE		
DIV	tfrrs	5760	0	24	-40.9	3.2	2978	na	na	-	INVESTIGATE		
DIV	anet	136216	559623	19	-40.8	2.5	1724	1	22	-	INVESTIGATE		
DIV	anet	142033	594587	86	-40.8	5.0	3085	5	18	-	INVESTIGATE		
DIV	anet	136216	559620	41	-40.8	5.9	1719	1	22	-	INVESTIGATE		
DIV	anet	136216	559621	38	-40.8	5.5	1724	1	22	-	INVESTIGATE		
DIV	anet	62361	267791	16	-40.8	7.4	5055	2	7	-	INVESTIGATE		
DIV	anet	32725	141981	44	-40.7	7.4	3130	2	13	-	INVESTIGATE		
DIV	anet	130220	529755	18	-40.7	5.9	3093	1	6	-	INVESTIGATE		
DIV	anet	141892	593762	62	-40.7	4.8	1472	11	14	-	PERSISTENT		
DIV	anet	138883	575045	17	-40.5	3.3	3148	1	12	-	INVESTIGATE		
DIV	tfrrs	5760	2	47	-40.5	3.0	2978	na	na	-	INVESTIGATE		
DIV	tfrrs	8121	1	12	-40.5	6.5	4250	na	na	-	INVESTIGATE		
DIV	tfrrs	7953	1	35	-40.4	4.4	5048	na	na	-	INVESTIGATE		
DIV	anet	61405	275187	28	-40.4	7.9	1539	1	13	-	INVESTIGATE		
DIV	tfrrs	9015	0	15	-40.4	7.1	3985	na	na	-	INVESTIGATE		
DIV	tfrrs	8104	0	22	-40.4	4.8	2875	na	na	-	INVESTIGATE		
DIV	tfrrs	8366	0	31	-40.4	2.0	3985	na	na	-	INVESTIGATE		
DIV	anet	57339	271385	19	-40.4	3.9	3087	3	20	-	INVESTIGATE		
DIV	anet	38753	166556	24	-40.3	3.8	5193	2	25	-	INVESTIGATE		
DIV	tfrrs	9514	0	17	-40.2	3.6	3990	na	na	-	INVESTIGATE		
DIV	anet	58472	250310	17	-40.2	3.4	3087	1	4	-	INVESTIGATE		
DIV	anet	50280	214277	14	-40.2	5.3	1440	7	16	-	INVESTIGATE		
DIV	anet	141892	593758	54	-40.2	3.6	1467	11	14	-	PERSISTENT		
DIV	tfrrs	9351	0	27	-40.2	3.1	5048	na	na	OVERRIDE	REGRESSION		
DIV	tfrrs	8121	0	25	-40.1	5.4	2875	na	na	-	INVESTIGATE		
DIV	anet	34884	151329	12	-40.1	3.3	3130	1	12	-	INVESTIGATE		
DIV	tfrrs	8025	0	31	-40.0	5.2	5048	na	na	OVERRIDE	REGRESSION		
DIV	tfrrs	4082	0	14	-40.0	2.8	3991	na	na	-	INVESTIGATE		
DIV	tfrrs	9367	0	53	-40.0	2.7	1830	na	na	-	INVESTIGATE		
DIV	tfrrs	4752	1	25	-40.0	4.2	2875	na	na	-	INVESTIGATE		
DIV	tfrrs	7891	0	17	-40.0	2.3	2875	na	na	-	INVESTIGATE		
DIV	anet	142033	594590	25	-39.9	4.5	3091	5	18	-	INVESTIGATE		
DIV	anet	195560	786211	29	-39.9	5.7	3153	2	9	-	INVESTIGATE		
DIV	anet	174765	717166	15	-39.9	7.3	2869	9	32	-	INVESTIGATE		
DIV	tfrrs	8741	0	59	-39.9	2.5	5048	na	na	-	INVESTIGATE		
DIV	anet	116110	464290	46	-39.8	5.8	3083	5	18	-	INVESTIGATE		
DIV	anet	143949	604250	12	-39.8	5.8	3111	1	2	-	INVESTIGATE		
DIV	anet	92983	367376	100	-39.8	5.1	3089	1	11	-	INVESTIGATE		
DIV	tfrrs	8087	0	108	-39.7	4.6	3985	na	na	-	INVESTIGATE		
DIV	anet	136216	559622	26	-39.7	4.9	1719	1	22	-	INVESTIGATE		
DIV	tfrrs	10597	1	12	-39.7	1.7	3990	na	na	-	INVESTIGATE		
DIV	tfrrs	4752	0	13	-39.7	11.3	2942	na	na	-	INVESTIGATE		
DIV	anet	259219	1029167	18	-39.5	8.4	1442	4	15	-	INVESTIGATE		
DIV	tfrrs	5760	1	16	-39.5	2.4	3046	na	na	-	INVESTIGATE		
DIV	tfrrs	5760	3	22	-39.4	3.4	3046	na	na	-	INVESTIGATE		
DIV	anet	128575	522421	43	-39.4	3.8	3106	3	13	-	INVESTIGATE		
DIV	tfrrs	8783	1	65	-39.4	4.7	2875	na	na	-	INVESTIGATE		
DIV	anet	21901	96814	98	-39.3	3.2	5140	1	28	-	INVESTIGATE		
DIV	anet	117671	472872	86	-39.2	9.1	3102	3	14	-	INVESTIGATE		
DIV	tfrrs	8564	2	21	-39.2	3.9	5048	na	na	-	INVESTIGATE		
DIV	anet	251230	1009512	16	-39.2	4.5	5023	1	5	-	INVESTIGATE		
DIV	anet	41563	178604	15	-39.2	6.8	1690	1	9	-	INVESTIGATE		
DIV	anet	163795	676378	13	-39.2	9.1	1442	2	14	-	INVESTIGATE		
DIV	tfrrs	7725	0	12	-39.1	1.7	3985	na	na	-	INVESTIGATE		
DIV	anet	174759	717161	20	-39.1	6.5	2883	9	32	-	INVESTIGATE		
DIV	anet	50280	214276	14	-39.1	16.9	1463	7	16	-	INVESTIGATE		
DIV	tfrrs	8371	0	29	-39.1	4.7	3165	na	na	OVERRIDE	REGRESSION		
DIV	anet	38869	167012	54	-39.1	3.6	5176	2	25	-	INVESTIGATE		
DIV	anet	116164	464613	53	-39.0	4.8	3103	3	13	-	INVESTIGATE		
DIV	anet	52014	221473	65	-39.0	4.0	5080	1	10	-	INVESTIGATE		
DIV	tfrrs	7953	0	91	-38.9	3.1	5048	na	na	-	INVESTIGATE		
DIV	anet	124404	500338	22	-38.9	6.0	3093	1	7	-	INVESTIGATE		
DIV	anet	116573	466934	46	-38.8	3.3	3087	2	4	-	PERSISTENT		
DIV	tfrrs	4969	0	14	-38.8	4.9	5055	na	na	-	INVESTIGATE		
DIV	anet	233695	933689	25	+63.3	8.0	3121	2	3	-	PERSISTENT		
DIV	anet	81015	361791	20	-38.7	3.6	5055	1	20	-	INVESTIGATE		
DIV	tfrrs	5584	1	29	+63.1	5.0	8294	na	na	-	INVESTIGATE		
DIV	anet	34884	151327	19	-38.6	7.8	3122	1	12	-	INVESTIGATE		
DIV	anet	71699	295014	44	-38.5	8.9	2254	2	12	-	INVESTIGATE		
