# tfrrs_meet	score	runner	location_id	gps_lat	gps_long	anet_course_name	tfrrs_location_raw
21588	1.00	0.50	46484	29.778685	-82.04169	Keystone Heights High School	Trinity Youth Camp Keystone Heights, FL 32656
8087	1.00	0.50	7744	35.02396	-89.76447	Mike Rose Soccer Complex	Mike Rose Soccer Complex 9000 East Shelby Drive Memphis, TN 38125
15307	1.00	0.50	25385	45.93416	-123.52234	79554 OR-202	Pine Ridge Golf Club , OR
8483	1.00	0.67	47494	44.323803	-93.975784	Gustavus Adolphus College	Gustavus Adolphus Campus St. Peter, MN 55441
20530	1.00	0.50	21844	45.757275	-108.54284	Amend Park	Amend Park Billings, MT
26426	1.00	0.75	40682	35.610546	-105.21565	GENE TORRES GOLF COURSE	Gene Torres Golf Course 1 Country Club Dr Las Vegas, NM 87701
15712	1.00	0.50	47335	32.261063	-110.85135	Tucson Country Club	Silver Lake Park Tucson, AZ 85713
8673	1.00	0.50	5980	39.17573	-86.50142	IU Championship XC Course	IU Varsity Cross Country Course Bloomington, IN 12345
8691	1.00	0.33	26570	42.89118	-75.64128	Morrisville State Campus	Morrisville State 80 Eaton Street Morrisville, NY 13408
8695	1.00	0.00	20980	33.745377	-90.73545	Delta State University	Delta State University Cleveland, MS 38733
16068	1.00	0.33	8328	35.646492	-82.297516	Montreat College	Montreat Montreat, NC 28757
16071	1.00	0.67	34368	41.635204	-80.1287	Meadville HS	Robertson Athletic Complex Course Meadville, PA 16336
27132	1.00	0.50	22876	30.15217	-84.3613	3Y Ranch	3Y Ranch 195 Harvey Young Farm Crawfordville, FL 32327
26998	1.00	0.00	48865	43.154236	-71.547745	Bow High School	Bow High School 55 Falcon Way Bow, NH 03304
15827	1.00	0.33	25112	40.752335	-73.0682	Broadway Park	Broadway Park Sayville, NY 11782
1010	1.00	0.00	23061	43.46084	-85.95441	Fremont MS	RB Fremont, MI 49412
981	1.00	0.50	31052	42.912502	-71.072525	Sanborn Regional High School	Sanborn Regional High School 13 Church St. Kingston, NH 03848
991	1.00	0.50	23061	43.46084	-85.95441	Fremont MS	Fremont 156 Homestead Avenue Fremont, MI 49412
8602	1.00	0.25	5892	36.096203	-94.16504	University of AR XC course	Bridgewater College City Not Supplied, AR
8618	1.00	0.50	6354	44.00761	-97.178055	 Madison Country Club	Madison Country Club Madison, SD 12345
949	1.00	0.00	23061	43.46084	-85.95441	Fremont MS	Fremont 101 Main Fremont, MI 40412
